"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"3548D215-E53F-4FEC-AA14-EB7151634C2E","3885","msft:rm/algorithm/pkey/2009","Enterprise Server","Microsoft Dynamics 365 Enterprise Server Volume:GVLK","Volume:GVLK","FALSE","X21-40178","Volume","true","0","499999","500000"
"","","","","","","","X21-40180","Volume","true","500000","999999","500000"
"","","","","","","","X21-40181","Volume","true","1000000","1499999","500000"
"","","","","","","","","","","","[SUBTOTAL]","1500000"
"5676A520-3E9C-469B-B781-490FDE9D2F12","3886","msft:rm/algorithm/pkey/2009","Enterprise Server","Microsoft Dynamics 365 Enterprise Server Retail","Retail","FALSE","X21-40189","Retail","true","1000500","1500499","500000"
"","","","","","","","X21-40179","Retail","true","500500","1000499","500000"
"","","","","","","","X21-40182","Retail","true","0","499999","500000"
"","","","","","","","X21-40183","Retail","true","500000","500499","500"
"","","","","","","","","","","","[SUBTOTAL]","1500500"
"5781D501-7653-4791-BB95-0AB9ED2681E5","3887","msft:rm/algorithm/pkey/2009","Online Server","Microsoft Dynamics 365 Online Server Retail","Retail","FALSE","X21-40184","Retail","true","0","499","500"
"","","","","","","","","","","","[SUBTOTAL]","500"
"31F734EE-81A4-4498-BF01-D68DD4415FFA","3888","msft:rm/algorithm/pkey/2009","Service Provider","Microsoft Dynamics 365 Service Provider Volume:GVLK","Volume:GVLK","FALSE","X21-40185","Volume","true","0","499999","500000"
"","","","","","","","","","","","[SUBTOTAL]","500000"
"3F44B7BD-F707-4BBF-A294-0F9CE8FD5229","3889","msft:rm/algorithm/pkey/2009","Workgroup Server","Microsoft Dynamics 365 Workgroup Server Volume:GVLK","Volume:GVLK","FALSE","X21-40186","Volume","true","0","499999","500000"
"","","","","","","","","","","","[SUBTOTAL]","500000"
"554DA37D-B191-410F-AD1E-61C1509A9C22","3890","msft:rm/algorithm/pkey/2009","Workgroup Server","Microsoft Dynamics 365 Workgroup Server Retail","Retail","FALSE","X21-40187","Retail","true","0","499999","500000"
"","","","","","","","X21-40190","Retail","true","1000000","1499999","500000"
"","","","","","","","X21-40188","Retail","true","500000","999999","500000"
"","","","","","","","","","","","[SUBTOTAL]","1500000"
