"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{15443741-95f0-4256-a968-13433dadd151}","204","msft:rm/algorithm/pkey/2005","Server","CRM 2011 Server Volume:GVLK","Volume:GVLK","TRUE","X17-15225","Volume","true","76000000","77999999","2000000"
"","","","","","","","X17-15224","Volume","true","74000000","75999999","2000000"
"","","","","","","","X17-15217","Volume","true","68000000","69999999","2000000"
"","","","","","","","","","","","[SUBTOTAL]","6000000"
"{bfaab35d-8747-4e8e-8c80-a170c7e711aa}","204","msft:rm/algorithm/pkey/2005","Server","CRM 2011 Server Retail","Retail","TRUE","X17-15227","Retail","true","78000000","79999999","2000000"
"","","","","","","","","","","","[SUBTOTAL]","2000000"
"{858bc4af-18fe-41ce-939c-6ca3fd0b38c9}","204","msft:rm/algorithm/pkey/2005","Server","CRM 2011 Server Retail","Retail","FALSE","X17-15226","Retail","true","10012100","10012199","100"
"","","","","","","","X17-15221","MSDN","true","10011800","10011899","100"
"","","","","","","","X17-15223","Retail","true","10012000","10012099","100"
"","","","","","","","","","","","[SUBTOTAL]","300"
"{e2405f43-efa5-44a3-8749-9e7e1aee9a0e}","204","msft:rm/algorithm/pkey/2005","Service Provider","CRM 2011 Service Provider Volume:GVLK","Volume:GVLK","TRUE","X17-15220","Volume","true","72000000","73999999","2000000"
"","","","","","","","","","","","[SUBTOTAL]","2000000"
"{5610b233-b8f4-4567-8af3-8306f3580370}","204","msft:rm/algorithm/pkey/2005","Workgroup","CRM 2011 Workgroup Retail","Retail","FALSE","X17-15222","MSDN","true","10011900","10011999","100"
"","","","","","","","X17-15218","Retail","true","70000000","71999999","2000000"
"","","","","","","","X17-15219","Retail","true","10011700","10011799","100"
"","","","","","","","","","","","[SUBTOTAL]","2000200"
"{8776fd64-dfbd-4f52-9fd8-1819465a0fa9}","204","msft:rm/algorithm/pkey/2005","Workgroup","CRM 2011 Workgroup Volume:GVLK","Volume:GVLK","TRUE","X17-15216","Volume","true","66000000","67999999","2000000"
"","","","","","","","","","","","[SUBTOTAL]","2000000"
"{556fed1c-2d07-479e-be32-27000c7f786a}","204","msft:rm/algorithm/pkey/2005","Online Svr","CRM 2011 Online Svr Retail","Retail","FALSE","X17-15215","Retail","true","10011600","10011699","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
