"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"1E857417-7DA8-4A2D-ABB5-D8060515C8E4","2948","msft:rm/algorithm/pkey/2009","Enterprise Server","CRM 7 RTM Enterprise Server Volume:GVLK","Volume:GVLK","FALSE","X19-72262","Volume","true","0","499999","500000"
"","","","","","","","X19-72265","Volume","true","500000","999999","500000"
"","","","","","","","X19-72266","Volume","true","1000000","1499999","500000"
"","","","","","","","","","","","[SUBTOTAL]","1500000"
"8A427315-7274-4977-9F09-DF1EA5B001EF","2949","msft:rm/algorithm/pkey/2009","Enterprise Server","CRM 7 RTM Enterprise Server Retail","Retail","FALSE","X19-72263","Retail","true","0","499999","500000"
"","","","","","","","X19-72264","Retail","true","500000","999999","500000"
"","","","","","","","X19-72267","Retail","true","1000000","1499999","500000"
"","","","","","","","X19-72268","Retail","true","1500000","1999999","500000"
"","","","","","","","","","","","[SUBTOTAL]","2000000"
"C3FF6065-9E29-441A-B0CA-C151A10100AE","2950","msft:rm/algorithm/pkey/2009","Online Server","CRM 7 RTM Online Server Retail","Retail","FALSE","X19-72269","Retail","true","0","499999","500000"
"","","","","","","","","","","","[SUBTOTAL]","500000"
"E6807054-2ABB-4752-81FA-B4292CD97647","2951","msft:rm/algorithm/pkey/2009","Service Provider","CRM 7 RTM Service Provider Volume:GVLK","Volume:GVLK","FALSE","X19-72270","Volume","true","0","499999","500000"
"","","","","","","","","","","","[SUBTOTAL]","500000"
"8BB8C11D-6739-4B95-ADBA-3710F2446692","2952","msft:rm/algorithm/pkey/2009","Workgroup Server","CRM 7 RTM Workgroup Server Volume:GVLK","Volume:GVLK","FALSE","X19-72271","Volume","true","0","499999","500000"
"","","","","","","","","","","","[SUBTOTAL]","500000"
"57A24377-043D-48F6-8273-C104C8CF8F61","2953","msft:rm/algorithm/pkey/2009","Workgroup Server","CRM 7 RTM Workgroup Server Retail","Retail","FALSE","X19-72272","Retail","true","0","499999","500000"
"","","","","","","","X19-72273","Retail","true","500000","999999","500000"
"","","","","","","","X19-72274","Retail","true","1000000","1499999","500000"
"","","","","","","","","","","","[SUBTOTAL]","1500000"
