"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"79ABB81B-FD53-4E2F-8807-FBA0673A968C","3722","msft:rm/algorithm/pkey/2009","Enterprise Server","Microsoft Dynamics CRM Enterprise Server Volume:GVLK","Volume:GVLK","FALSE","X20-83424","Volume","true","0","499999","500000"
"","","","","","","","X20-83511","Volume","true","500000","999999","500000"
"","","","","","","","X20-83512","Volume","true","1000000","1499999","500000"
"","","","","","","","","","","","[SUBTOTAL]","1500000"
"58D401DF-11D4-4F45-A9D3-4B94D911F50B","3723","msft:rm/algorithm/pkey/2009","Enterprise Server","Microsoft Dynamics CRM Enterprise Server Retail","Retail","FALSE","X20-83515","Retail","true","1000500","1500499","500000"
"","","","","","","","X20-83432","Retail","true","500500","1000499","500000"
"","","","","","","","X20-83431","Retail","true","500","500499","500000"
"","","","","","","","X20-83430","Retail","true","0","499","500"
"","","","","","","","","","","","[SUBTOTAL]","1500500"
"2939DA87-9077-4557-B86F-7CD15E54E712","3724","msft:rm/algorithm/pkey/2009","Online Server","Microsoft Dynamics CRM Online Server Retail","Retail","FALSE","X20-83433","Retail","true","0","499","500"
"","","","","","","","","","","","[SUBTOTAL]","500"
"824817B6-C4BD-472C-B09E-5D766114A9C1","3725","msft:rm/algorithm/pkey/2009","Service Provider","Microsoft Dynamics CRM Service Provider Volume:GVLK","Volume:GVLK","FALSE","X20-83441","Volume","true","0","499999","500000"
"","","","","","","","","","","","[SUBTOTAL]","500000"
"379D5465-F3CE-44B0-A31F-F3695A6F73BC","3726","msft:rm/algorithm/pkey/2009","Workgroup Server","Microsoft Dynamics CRM Workgroup Server Volume:GVLK","Volume:GVLK","FALSE","X20-83439","Volume","true","0","9","10"
"","","","","","","","X20-83439","Volume","true","10","500009","500000"
"","","","","","","","","","","","[SUBTOTAL]","500010"
"E1C3F172-4BEB-41D3-BDCA-6DF4B0CCF521","3727","msft:rm/algorithm/pkey/2009","Workgroup Server","Microsoft Dynamics CRM Workgroup Server Retail","Retail","FALSE","X20-83451","Retail","true","20","29","10"
"","","","","","","","X20-83449","Retail","true","0","9","10"
"","","","","","","","X20-83450","Retail","true","10","19","10"
"","","","","","","","X20-83451","Retail","true","30","500029","500000"
"","","","","","","","X20-83449","Retail","true","500030","1000029","500000"
"","","","","","","","X20-83450","Retail","true","1000030","1500029","500000"
"","","","","","","","","","","","[SUBTOTAL]","1500030"
