"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"327C6E89-97A1-4441-AD56-63B801C8C542","3681","msft:rm/algorithm/pkey/2009","Enterprise Server","CRM 8 Beta Enterprise Server Volume:GVLK","Volume:GVLK","FALSE","X20-45297","Volume","true","1000000","1499999","500000"
"","","","","","","","X20-45290","Volume","true","500000","999999","500000"
"","","","","","","","X20-45283","Volume","true","0","499999","500000"
"","","","","","","","","","","","[SUBTOTAL]","1500000"
"CFE8181E-75EE-4843-B1B0-F0DEFFDA6925","3682","msft:rm/algorithm/pkey/2009","Enterprise Server","CRM 8 Beta Enterprise Server Retail","Retail","FALSE","X20-45288","Retail","true","0","499999","500000"
"","","","","","","","X20-45299","Retail","true","1000500","1500499","500000"
"","","","","","","","X20-45291","Retail","true","500500","1000499","500000"
"","","","","","","","X20-45289","Retail","true","500000","500499","500"
"","","","","","","","","","","","[SUBTOTAL]","1500500"
"01BEB5F2-A6C5-47B5-A6B5-26942519DA06","3683","msft:rm/algorithm/pkey/2009","Online Server","CRM 8 Beta Online Server Retail","Retail","FALSE","X20-45293","Retail","true","0","499","500"
"","","","","","","","","","","","[SUBTOTAL]","500"
"DCA32113-0526-4688-8137-55AEF56FAE0D","3684","msft:rm/algorithm/pkey/2009","Service Provider","CRM 8 Beta Service Provider Volume:GVLK","Volume:GVLK","FALSE","X20-45294","Volume","true","0","499999","500000"
"","","","","","","","","","","","[SUBTOTAL]","500000"
"F149BC3D-D55A-482A-964B-C75A7D67B382","3685","msft:rm/algorithm/pkey/2009","Workgroup Server","CRM 8 Beta Workgroup Server Volume:GVLK","Volume:GVLK","FALSE","X20-45298","Volume","true","0","9","10"
"","","","","","","","","","","","[SUBTOTAL]","10"
"FD0963D6-D848-43E3-BEBA-1BCFB1077700","3686","msft:rm/algorithm/pkey/2009","Workgroup Server","CRM 8 Beta Workgroup Server Retail","Retail","FALSE","X20-45292","Retail","true","0","9","10"
"","","","","","","","X20-45296","Retail","true","20","29","10"
"","","","","","","","X20-45295","Retail","true","10","19","10"
"","","","","","","","","","","","[SUBTOTAL]","30"
