"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{77560caa-e16a-41b4-b952-739a68ba67cb}","1777","msft:rm/algorithm/pkey/2009","CoreN","Win 8 RTM CoreN Retail","Retail","FALSE","X18-15488","Retail","true","7000000","7299999","300000"
"","","","","","","","X18-15673","Retail","true","23300000","23309999","10000"
"","","","","","","","X18-15489","Retail","true","13300000","23299999","10000000"
"","","","","","","","X18-15681","Retail","true","0","6999999","7000000"
"","","","","","","","X18-21662","Retail","true","8300000","13299999","5000000"
"","","","","","","","X18-21664","Retail","true","24310000","29309999","5000000"
"","","","","","","","X18-21666","Retail","true","23310000","24309999","1000000"
"","","","","","","","X18-21259","Retail","true","7300000","8299999","1000000"
"","","","","","","","res-v1777","Retail","true","29310000","999999999","970690000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{625cc89b-693d-45c4-9967-123877fc41e4}","1778","msft:rm/algorithm/pkey/2009","Core","Win 8 RTM Core Retail","Retail","FALSE","X18-15490","Retail","true","2000000","3337339","1337340"
"","","","","","","","X18-15674","Retail","true","75915340","75925339","10000"
"","","","","","","","X18-15491","Retail","true","4337340","11337339","7000000"
"","","","","","","","X18-15492","Retail","true","11337340","55915339","44578000"
"","","","","","","","X18-19578","Retail","true","65915340","75915339","10000000"
"","","","","","","","X18-19580","Retail","true","55915340","65915339","10000000"
"","","","","","","","X18-19582","Retail","true","0","1999999","2000000"
"","","","","","","","X18-21260","Retail","true","3337340","4337339","1000000"
"","","","","","","","res-v1778","Retail","true","75925340","999999999","924074660"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{03ccfdc5-a723-45f7-ad80-5a67db815f4a}","1780","msft:rm/algorithm/pkey/2009","ProfessionalN","Win 8 RTM ProfessionalN Retail","Retail","FALSE","X18-15494","Retail","true","15500000","15559999","60000"
"","","","","","","","X18-15676","Retail","true","34560000","34569999","10000"
"","","","","","","","X18-15495","Retail","true","22560000","23559999","1000000"
"","","","","","","","X18-15496","Retail","true","15560000","17559999","2000000"
"","","","","","","","X18-15682","Retail","true","1000000","7999999","7000000"
"","","","","","","","X18-15683","Retail","true","29560000","34559999","5000000"
"","","","","","","","X18-21661","Retail","true","17560000","22559999","5000000"
"","","","","","","","X18-21663","Retail","true","24560000","29559999","5000000"
"","","","","","","","X18-21665","Retail","true","0","999999","1000000"
"","","","","","","","X18-21667","Retail","true","8000000","15499999","7500000"
"","","","","","","","X18-21261","Retail","true","23560000","24559999","1000000"
"","","","","","","","X18-27339","Retail","true","34570000","38069999","3500000"
"","","","","","","","X18-29231","Retail","true","38070000","38819999","750000"
"","","","","","","","X18-21661","Retail","true","38820000","46319999","7500000"
"","","","","","","","res-v1780","Retail","true","46320000","999999999","953680000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{be1b42f3-058d-4063-9446-87061153184b}","1807","msft:rm/algorithm/pkey/2009","ProfessionalN","Win 8 RTM ProfessionalN Retail","Retail","FALSE","X18-15497","Retail:WAU:98;","true","0","999999","1000000"
"","","","","","","","X18-23189","Retail:WAU:98;","true","1000000","1999999","1000000"
"","","","","","","","X18-26640","Retail:WAU:98;","true","2000000","2999999","1000000"
"","","","","","","","X18-26642","Retail:WAU:98;","true","3000000","3999999","1000000"
"","","","","","","","res-v1807","Retail:WAU:98;","true","4000000","999999999","996000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{9e473b6d-b591-4c46-9c44-90a865f22e76}","1781","msft:rm/algorithm/pkey/2009","Professional","Win 8 RTM Professional Retail","Retail","FALSE","X18-15498","Retail","true","14000000","14224219","224220"
"","","","","","","","X18-15677","Retail","true","94198220","94208219","10000"
"","","","","","","","X18-15499","Retail","true","7000000","13999999","7000000"
"","","","","","","","X18-15500","Retail","true","77698220","82698219","5000000"
"","","","","","","","X18-15501","Retail","true","29224220","43224219","14000000"
"","","","","","","","X18-15502","Retail","true","0","6999999","7000000"
"","","","","","","","X18-15503","Retail","true","43224220","50224219","7000000"
"","","","","","","","X18-15504","Retail","true","70698220","77698219","7000000"
"","","","","","","","X18-15505","Retail","true","92698220","94198219","1500000"
"","","","","","","","X18-15506","Retail","true","50224220","57698219","7474000"
"","","","","","","","X18-19577","Retail","true","82698220","92698219","10000000"
"","","","","","","","X18-19579","Retail","true","57698220","67698219","10000000"
"","","","","","","","X18-19581","Retail","true","67698220","69698219","2000000"
"","","","","","","","X18-19670","Retail","true","14224220","29224219","15000000"
"","","","","","","","X18-21262","Retail","true","69698220","70698219","1000000"
"","","","","","","","X18-19577","Retail","true","94208220","109208219","15000000"
"","","","","","","","res-v1781","Retail","true","109208220","999999999","890791780"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{7f71c90a-6279-4274-b398-37f7e9019dd4}","1808","msft:rm/algorithm/pkey/2009","Professional","Win 8 RTM Professional Retail","Retail","FALSE","X18-15507","Retail:WAU:101;99;100;","true","0","999999","1000000"
"","","","","","","","res-v1808","Retail:WAU:101;99;100;","true","1000000","999999999","999000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{d9ec2828-d29e-4d1c-8fa7-bfe2c4786003}","1782","msft:rm/algorithm/pkey/2009","ProfessionalWMC","Win 8 RTM ProfessionalWMC Retail","Retail","FALSE","X18-15678","Retail","true","0","9999","10000"
"","","","","","","","res-v1782","Retail","true","10000","999999999","999990000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{7b65fea6-df35-4e65-aaa7-bdf1fef5b24f}","1809","msft:rm/algorithm/pkey/2009","ProfessionalWMC","Win 8 RTM ProfessionalWMC Retail","Retail","FALSE","X18-15508","Retail:WAU:101;99;100;","true","0","999999","1000000"
"","","","","","","","X18-19671","Retail:WAU:101;99;100;","true","1000000","2999999","2000000"
"","","","","","","","X18-26639","Retail:WAU:101;99;100;","true","8000000","12999999","5000000"
"","","","","","","","X18-26641","Retail:WAU:101;99;100;","true","3000000","7999999","5000000"
"","","","","","","","res-v1809","Retail:WAU:101;99;100;","true","13000000","999999999","987000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{7e324006-b4e8-4d0d-b52a-44c59af7b03f}","1810","msft:rm/algorithm/pkey/2009","ProfessionalWMC","Win 8 RTM ProfessionalWMC Retail","Retail","FALSE","X18-15509","Retail:WAU:48;","true","0","999999","1000000"
"","","","","","","","X18-19672","Retail:WAU:48;","true","1000000","2999999","2000000"
"","","","","","","","res-v1810","Retail:WAU:48;","true","3000000","999999999","997000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{9b74255b-afe1-4da7-a143-98d1874b2a6c}","1783","msft:rm/algorithm/pkey/2009","EnterpriseNEval","Win 8 RTM EnterpriseNEval Retail:TB:Eval","Retail:TB:Eval","FALSE","X18-15510","EVAL","true","0","999","1000"
"","","","","","","","res-v1783","EVAL","true","1000","999999999","999999000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{fbd4c5c6-adc6-4740-bc65-b2dc6dc249c1}","1784","msft:rm/algorithm/pkey/2009","EnterpriseEval","Win 8 RTM EnterpriseEval Retail:TB:Eval","Retail:TB:Eval","FALSE","X18-15511","EVAL","true","0","999","1000"
"","","","","","","","res-v1784","EVAL","true","1000","999999999","999999000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
