"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{7e622c6b-d9bc-42d7-8bff-7f83d5716860}","206","msft:rm/algorithm/pkey/2005","Embedded","Windows Thin PC Embedded Retail","Retail","FALSE","X17-27282","Retail","true","10002300","10002399","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{5d087edc-5df1-4b8e-a28f-f6cd9c72d9d3}","206","msft:rm/algorithm/pkey/2005","Embedded","Windows Thin PC Embedded Retail:TB:Eval","Retail:TB:Eval","FALSE","X17-27283","EVAL","true","10002400","10002499","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{aa6dd3aa-c2b4-40e2-a544-a6bbb3f5c395}","206","msft:rm/algorithm/pkey/2005","Embedded","Windows Thin PC Embedded Volume:GVLK","Volume:GVLK","FALSE","X17-27284","Volume","true","10000710","10000719","10"
"","","","","","","","","","","","[SUBTOTAL]","10"
"{745b16c2-2df9-4287-aa5c-c95fda7c611d}","206","msft:rm/algorithm/pkey/2005","Embedded","Windows Thin PC Embedded Volume:MAK","Volume:MAK","FALSE","X17-27285","Volume","true","14000000","17499999","3500000"
"","","","","","","","X17-27286","Volume","true","96000000","98499999","2500000"
"","","","","","","","X17-31095","Volume","true","17500000","17599999","100000"
"","","","","","","","","","","","[SUBTOTAL]","6100000"
