"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{e1a8296a-db37-44d1-8cce-7bc961d59c54}","150","msft:rm/algorithm/pkey/2005","Embedded","Embedded Standard Volume:BA Std Edtn OEM","Volume:BA","FALSE","X15-82254","Volume","true","1540000","1579999","40000"
"","","","","","","","","","","","[SUBTOTAL]","40000"
"{d49ab3d8-bdf9-45f8-9383-e106831bda60}","150","msft:rm/algorithm/pkey/2005","Embedded","Embedded Standard Retail Std Edtn Eval OEM","Retail","FALSE","X15-82255","Retail","true","110848000","110848999","1000"
"","","","","","","","","","","","[SUBTOTAL]","1000"
"{eb788ea6-a0ee-41fd-a238-1a9163b0be0e}","150","msft:rm/algorithm/pkey/2005","Embedded","Embedded Standard Volume:BA Prem Edtn OEM","Volume:BA","FALSE","X15-82256","Volume","true","1580000","1589999","10000"
"","","","","","","","","","","","[SUBTOTAL]","10000"
"{adb4e385-907b-45da-8c1c-cd428e2f9a06}","150","msft:rm/algorithm/pkey/2005","Embedded","Embedded Standard Retail Prem Edtn Eval OEM","Retail","FALSE","X15-82257","Retail","true","110849000","110849999","1000"
"","","","","","","","","","","","[SUBTOTAL]","1000"
"{402ad928-b65e-4f1f-859c-0cbd4060ddef}","150","msft:rm/algorithm/pkey/2005","Embedded","Embedded Standard Volume:BA SMB Std Edtn OEM","Volume:BA","FALSE","X15-82258","Volume","true","1590000","1599999","10000"
"","","","","","","","","","","","[SUBTOTAL]","10000"
"{7393f438-73bf-44f0-a954-12edfb724145}","150","msft:rm/algorithm/pkey/2005","Embedded","Embedded Standard Volume:BA SMB Prem Edtn OEM","Volume:BA","FALSE","X15-82259","Volume","true","1600000","1609999","10000"
"","","","","","","","","","","","[SUBTOTAL]","10000"
"{1d30a37d-c938-48ae-8e77-96686f5ef87f}","150","msft:rm/algorithm/pkey/2005","Embedded","Embedded Standard Volume:BA Lckd Edtn OEM","Volume:BA","FALSE","X15-82260","Volume","true","1610000","1639999","30000"
"","","","","","","","","","","","[SUBTOTAL]","30000"
"{dea43b09-c900-4e4c-a611-999261148089}","150","msft:rm/algorithm/pkey/2005","Embedded","Embedded Standard Volume:BA SMB Lckd Edtn OEM","Volume:BA","FALSE","X15-82261","Volume","true","1640000","1649999","10000"
"","","","","","","","","","","","[SUBTOTAL]","10000"
"{febe415b-b7d4-4aac-a9c6-8cebf4f9d14d}","150","msft:rm/algorithm/pkey/2005","Embedded","Embedded Standard Retail Acad Edtn OEM","Retail","FALSE","X15-82262","Retail","true","110850000","110850999","1000"
"","","","","","","","","","","","[SUBTOTAL]","1000"
"{602a3fcf-02ac-4ef4-975a-57d096cc4d69}","150","msft:rm/algorithm/pkey/2005","Embedded","Embedded Standard Retail Default Key Evl OEM","Retail","FALSE","X15-82263","Retail","true","110851000","110851009","10"
"","","","","","","","","","","","[SUBTOTAL]","10"
"{4a8149bb-7d61-49f4-8822-82c7bf88d64b}","170","msft:rm/algorithm/pkey/2005","OCUR","Windows 7 OCUR Retail","Retail","FALSE","X15-39781","Retail","true","972900100","972900109","10"
"","","","","","","","","","","","[SUBTOTAL]","10"
"{b1703b31-8bd5-49f4-9011-811c4ddfd760}","178","msft:rm/algorithm/pkey/2005","WES-ESU-Year1","Windows Embedded Standard Extended Security Updates add-on Volume:MAK","Volume:MAK","FALSE","X22-14521","Volume","true","927886000","927890999","5000"
"","","","","","","","X22-14521","Volume","true","937235000","937279999","45000"
"","","","","","","","","","","","[SUBTOTAL]","50000"
"{84153ded-345e-4871-af77-19758b7da9fb}","178","msft:rm/algorithm/pkey/2005","WES-ESU-Year2","Windows Embedded Standard Extended Security Updates add-on Volume:MAK","Volume:MAK","FALSE","X22-14525","Volume","true","927906000","927910999","5000"
"","","","","","","","X22-14525","Volume","true","937280000","937324999","45000"
"","","","","","","","","","","","[SUBTOTAL]","50000"
"{6aaf1c7d-527f-4ed5-b908-9fc039dfc654}","178","msft:rm/algorithm/pkey/2005","WES-ESU-Year3","Windows Embedded Standard Extended Security Updates add-on Volume:MAK","Volume:MAK","FALSE","X22-14529","Volume","true","927931000","927935999","5000"
"","","","","","","","X22-14529","Volume","true","937325000","937369999","45000"
"","","","","","","","","","","","[SUBTOTAL]","50000"
