"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{f4d1eec6-76d4-4b91-aef7-10b7cf7ef2cb}","150","msft:rm/algorithm/pkey/2005","Standard","ProdKey3 Exchange Svr 2010 00150 DLA/Bypass ByPass Volume:GVLK Vol Lic S","Volume:GVLK","FALSE","X15-77639","Volume","false","110802216","110802216","1"
"","","","","","","","X15-77639","Volume","true","110802216","110802217","2"
"","","","","","","","","","","","[SUBTOTAL]","3"
"{21b48ea2-ba74-49c7-a627-b707ee694f28}","150","msft:rm/algorithm/pkey/2005","Enterprise","ProdKey3 Exchange Svr Ent 2010 00150 DLA/Bypass ByPass Volume:GVLK Vol L","Volume:GVLK","FALSE","X15-77640","Volume","false","110802218","110802218","1"
"","","","","","","","X15-77640","Volume","true","110802218","110802219","2"
"","","","","","","","","","","","[SUBTOTAL]","3"
"{341adbdd-bf38-497d-9676-fc981f6ccc70}","150","msft:rm/algorithm/pkey/2005","Coexistence","ProdKey3 Exchange Svr 2010 00150 DLA ByPass Volume:GVLK Vol Lic Std Coex","Volume:GVLK","FALSE","X15-77645","Volume","false","110802220","110802220","1"
"","","","","","","","X15-77645","Volume","true","110802220","110802221","2"
"","","","","","","","","","","","[SUBTOTAL]","3"
"{448516f0-1f1d-48a8-95d9-c955b86b2ce1}","150","msft:rm/algorithm/pkey/2005","Standard","ProdKey3 Exchange Svr 2010 00150 ProdAct Retail FPP","Retail","FALSE","X15-77641","Retail","true","20000000","20999999","1000000"
"","","","","","","","X15-77644","Retail","true","21000000","21999999","1000000"
"","","","","","","","","","","","[SUBTOTAL]","2000000"
