"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{db73a6bc-8776-49e3-b9f8-aa1ff0d98435}","204","msft:rm/algorithm/pkey/2005","Enterprise","Exchange Server 2013 Enterprise Volume:GVLK","Volume:GVLK","FALSE","X20-53894","Volume","true","4060500","4060509","10"
"","","","","","","","X18-49498","Volume","true","4007300","4007399","100"
"","","","","","","","X18-49498","Volume","true","4060000","4060499","500"
"","","","","","","","X18-49498","Volume","true","4060510","4060999","490"
"","","","","","","","","","","","[SUBTOTAL]","1100"
"{4b1a7f4f-74bc-481d-8bab-ba129fedbe02}","204","msft:rm/algorithm/pkey/2005","Standard","Exchange Server 2013 Standard Volume:GVLK","Volume:GVLK","FALSE","X20-53895","Volume","true","4061500","4061509","10"
"","","","","","","","X18-49499","Volume","true","4007400","4007499","100"
"","","","","","","","X18-49499","Volume","true","4061000","4061499","500"
"","","","","","","","X18-49499","Volume","true","4061510","4061999","490"
"","","","","","","","","","","","[SUBTOTAL]","1100"
"{3b8db803-95d3-4257-94cd-1e2e12bce1a4}","204","msft:rm/algorithm/pkey/2005","Hybrid","Exchange Server 2013 Hybrid Volume:GVLK","Volume:GVLK","FALSE","X20-53896","Volume","true","4062500","4062509","10"
"","","","","","","","X19-07521","Volume","true","4055900","4055999","100"
"","","","","","","","X19-07521","Volume","true","4062000","4062499","500"
"","","","","","","","X19-07521","Volume","true","4062510","4062999","490"
"","","","","","","","","","","","[SUBTOTAL]","1100"
"{473f7ed3-d685-47c4-800b-68c40efd38d9}","204","msft:rm/algorithm/pkey/2005","Standard_GER","Exchange Server 2013 Standard_GER Volume:GVLK","Volume:GVLK","FALSE","X18-66877","Volume","true","4007600","4007699","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{eadc1a4c-f47e-4469-b76d-e9b16c1ee263}","204","msft:rm/algorithm/pkey/2005","Enterprise_GER","Exchange Server 2013 Enterprise_GER Volume:GVLK","Volume:GVLK","FALSE","X18-66876","Volume","true","4007500","4007599","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
