"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{d2ce02df-8043-4a91-af4a-412a9a523259}","140","msft:rm/algorithm/pkey/2005","Enterprise","ProdKey3 Forefront TMG Enterprise 2010 W32 00140 DLA Volume:GVLK Vol Lic","Volume:GVLK","FALSE","X16-16600","Volume","true","169250476","169250477","2"
"","","","","","","","X16-16607","Volume","true","169250490","169250491","2"
"","","","","","","","","","","","[SUBTOTAL]","4"
"{2f211bda-821d-449c-a77a-f0c0b50a9851}","140","msft:rm/algorithm/pkey/2005","Standard","ProdKey3 Forefront TMG Standard 2010 W32 00140 DLA Upgrade Volume:GVLK V","Volume:GVLK","FALSE","X16-16601","Volume","true","169250478","169250479","2"
"","","","","","","","","","","","[SUBTOTAL]","2"
"{8c8e4669-b48c-4788-be88-cc66c01246a4}","140","msft:rm/algorithm/pkey/2005","Standard","ProdKey3 Forefront TMG Standard 2010 W32 00140 DLA Retail FPP","Retail","FALSE","X16-16602","Retail","true","315443000","315447999","5000"
"","","","","","","","X16-16602","Retail","true","532806000","532810999","5000"
"","","","","","","","","","","","[SUBTOTAL]","10000"
"{f8480bd5-5d39-49b6-958d-cde150f06a4d}","140","msft:rm/algorithm/pkey/2005","Enterprise","ProdKey3 Forefront TMG Enterprise 2010 W32 00140 DLA OEM:NONSLP OEM OEM","OEM:NONSLP","FALSE","X16-16603","OEM","true","169250482","169250483","2"
"","","","","","","","","","","","[SUBTOTAL]","2"
"{d7e99921-58dd-4a7d-bc6a-bdbd9046a7a5}","140","msft:rm/algorithm/pkey/2005","Standard","ProdKey3 Forefront TMG Standard 2010 W32 00140 DLA OEM:NONSLP OEM OEM","OEM:NONSLP","FALSE","X16-16604","OEM","true","169250484","169250485","2"
"","","","","","","","","","","","[SUBTOTAL]","2"
"{8c85fdaa-8ba7-446f-949e-64491253e9b3}","140","msft:rm/algorithm/pkey/2005","Enterprise","ProdKey3 Forefront TMG Enterprise 2010 W32 00140 DLA 120DayTr Retail FPP","Retail","FALSE","X16-16605","Retail","true","169250486","169250487","2"
"","","","","","","","","","","","[SUBTOTAL]","2"
"{dbbcc24d-dd74-4ef1-948c-a45435120afc}","140","msft:rm/algorithm/pkey/2005","Standard","ProdKey3 Forefront TMG Standard 2010 W32 00140 DLA 120DayTr Retail FPP","Retail","FALSE","X16-16606","Retail","true","169250488","169250489","2"
"","","","","","","","","","","","[SUBTOTAL]","2"
