"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{eb78b428-0a82-4b3c-b1f4-929d7edab7fe}","206","msft:rm/algorithm/pkey/2005","AR EU Standard","AutoRoute 2011AR EU StandardRetail","Retail","FALSE","X17-12879","Retail","true","11000000","11999999","1000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000"
"{39e09315-3917-426e-8efe-3021131c6463}","206","msft:rm/algorithm/pkey/2005","60DayTr FPP AR EU Trial","AutoRoute 201160DayTr FPP AR EU TrialRetail","Retail","FALSE","X17-12878","Retail","true","10000800","10000899","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{a396e39c-ccbf-4376-9441-31155670c04e}","206","msft:rm/algorithm/pkey/2005","Bypass Vol Lic VL","AutoRoute 2011Bypass Vol Lic VLVolume:GVLK","Volume:GVLK","FALSE","X17-12882","Volume","true","10000900","10000999","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{772ba0a4-a3be-4d01-9933-80342de232d2}","206","msft:rm/algorithm/pkey/2005","AR EU GPS","AutoRoute 2011AR EU GPSRetail","Retail","FALSE","X17-12880","Retail","true","12000000","12999999","1000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000"
"{5f794404-4348-4c34-96e8-2e85d082fa56}","206","msft:rm/algorithm/pkey/2005","AR EU OEM","AutoRoute 2011AR EU OEMOEM:NONSLP","OEM:NONSLP","FALSE","X17-12881","OEM","true","13000000","13999999","1000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000"
