"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{F8D2AA4E-180E-4423-BD7E-98B53D4320C2}","1150","msft:rm/algorithm/pkey/2009","Alpha_AccessRetail","Office15_Alpha_AccessR_Retail","Retail","FALSE","X17-52570","ltPERP","true","1004770","1014769","10000"
"","","","","","","","X17-52570","ltPERP","true","1014770","101014769","100000000"
"","","","","","","","","","","","[SUBTOTAL]","100010000"
"{8ED27E29-7414-4A95-8FFD-300B63B8ABFB}","1152","msft:rm/algorithm/pkey/2009","Alpha_AccessRuntimeRetail","Office15_Alpha_AccessRuntimeR_Bypass","Retail","FALSE","X17-52571","ltFree","true","1000000","1000009","10"
"","","","","","","","","","","","[SUBTOTAL]","10"
"{8F40EBA0-E386-4C76-9129-F4BA8D0A9005}","1153","msft:rm/algorithm/pkey/2009","Alpha_O365ProPlusRetail_Grace","Office15_Alpha_O365ProPlusR_Grace","Retail","FALSE","X17-52572","ltGrace","true","1000010","1000019","10"
"","","","","","","","","","","","[SUBTOTAL]","10"
"{5728BFAD-20FB-408F-ACBE-395A148B0B64}","1151","msft:rm/algorithm/pkey/2009","Alpha_MondoRetail","Office15_Alpha_MondoO365R_SubTest","Retail:TB:Sub","FALSE","X17-52573","ltSub","true","1014770","1024769","10000"
"","","","","","","","X17-52573","ltSub","true","1024770","101024769","100000000"
"","","","","","","","","","","","[SUBTOTAL]","100010000"
"{44B538E2-FB34-4732-81E4-644C17D2E746}","1155","msft:rm/algorithm/pkey/2009","Alpha_AccessVolume","Office15_Alpha_AccessVL_KMS_Client","Volume:GVLK","FALSE","X17-52574","ltKMS","true","1000020","1000029","10"
"","","","","","","","","","","","[SUBTOTAL]","10"
"{B2337E3A-F4A6-4956-819A-42F43F535A39}","1154","msft:rm/algorithm/pkey/2009","Alpha_AccessVolume","Office15_Alpha_AccessVL_MAK","Volume:MAK","FALSE","X17-52575","ltMAK","true","1024770","1034769","10000"
"","","","","","","","X17-52575","ltMAK","true","1044770","101044769","100000000"
"","","","","","","","X17-52576","ltMAK","true","1034770","1044769","10000"
"","","","","","","","X17-52576","ltMAK","true","101044770","201044769","100000000"
"","","","","","","","","","","","[SUBTOTAL]","200020000"
"{8099D2DD-83A1-4D98-AD4F-D8624C2D5F5D}","1156","msft:rm/algorithm/pkey/2009","Alpha_ExcelRetail","Office15_Alpha_ExcelR_Retail","Retail","FALSE","X17-52577","ltPERP","true","1044770","1054769","10000"
"","","","","","","","X17-52577","ltPERP","true","1054770","101054769","100000000"
"","","","","","","","","","","","[SUBTOTAL]","100010000"
"{6E79B439-B835-4FBD-968B-B1EEDA76EEF1}","1157","msft:rm/algorithm/pkey/2009","Alpha_O365SmallBusPremRetail_Grace","Office15_Alpha_O365SmallBusPremR_Grace","Retail","FALSE","X17-52578","ltGrace","true","1000030","1000039","10"
"","","","","","","","","","","","[SUBTOTAL]","10"
"{902173E8-57CC-4BD2-A979-45CAFC9F31A5}","1158","msft:rm/algorithm/pkey/2009","Alpha_O365SmallBusPremRetail","Office15_Alpha_O365SmallBusPremR_Subscription","Retail:TB:Sub","FALSE","X17-52579","ltSub","true","1054770","1064769","10000"
"","","","","","","","X17-52579","ltSub","true","1064770","101064769","100000000"
"","","","","","","","","","","","[SUBTOTAL]","100010000"
"{9373BFA0-97B3-4587-AB73-30934461D55C}","1159","msft:rm/algorithm/pkey/2009","Alpha_ExcelVolume","Office15_Alpha_ExcelVL_KMS_Client","Volume:GVLK","FALSE","X17-52580","ltKMS","true","1000040","1000049","10"
"","","","","","","","","","","","[SUBTOTAL]","10"
"{B220E438-51E2-4518-B672-F56A5471F568}","1160","msft:rm/algorithm/pkey/2009","Alpha_ExcelVolume","Office15_Alpha_ExcelVL_MAK","Volume:MAK","FALSE","X17-52581","ltMAK","true","1064770","1074769","10000"
"","","","","","","","X17-52581","ltMAK","true","101084770","201084769","100000000"
"","","","","","","","X17-52582","ltMAK","true","1074770","1084769","10000"
"","","","","","","","X17-52582","ltMAK","true","1084770","101084769","100000000"
"","","","","","","","","","","","[SUBTOTAL]","200020000"
"{8E3570AB-710B-4532-A21B-F81697F059EB}","1171","msft:rm/algorithm/pkey/2009","Alpha_HomeStudentRetail","Office15_Alpha_HomeStudentPreInstallR_OEM_ARM","OEM:NONSLP","FALSE","X17-52583","ltFree","true","1000670","1000769","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
