"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{4B17D082-D27D-467D-9E70-40B805714C0A}","138","msft:rm/algorithm/pkey/2005","AccessR","RTM_Access_OEM_Perp","OEM:NONSLP","FALSE","X16-07334","ltPERP","true","730000000","749999999","20000000"
"","","","","","","","","","","","[SUBTOTAL]","20000000"
"{EAEED721-9715-46FC-B2F8-03EEA2EF1FE2}","76","msft:rm/algorithm/pkey/2005","ExcelR","RTM_Excel_OEM_Perp","OEM:NONSLP","FALSE","X16-07335","ltPERP","true","700000000","719999999","20000000"
"","","","","","","","","","","","[SUBTOTAL]","20000000"
"{8C7E3A91-E176-4AB3-84B9-A7E0EFB3A6DD}","96","msft:rm/algorithm/pkey/2005","HSExcelR","RTM_HSExcel_OEM_Perp","OEM:NONSLP","FALSE","X16-07336","ltPERP","true","149000000","158999999","10000000"
"","","","","","","","X16-08653","ltPERP","true","576000000","585999999","10000000"
"","","","","","","","X16-08654","ltPERP","true","586000000","600999999","15000000"
"","","","","","","","X16-08655","ltPERP","true","601000000","610999999","10000000"
"","","","","","","","X16-08656","ltPERP","true","611000000","620999999","10000000"
"","","","","","","","X16-08657","ltPERP","true","770000000","779999999","10000000"
"","","","","","","","X16-09178","ltPERP","true","89000000","108999999","20000000"
"","","","","","","","","","","","[SUBTOTAL]","85000000"
"{866AC003-01A0-49FD-A6EC-F8F56ABDCFAB}","96","msft:rm/algorithm/pkey/2005","InfoPathR","RTM_InfoPath_OEM_Perp","OEM:NONSLP","FALSE","X16-07343","ltPERP","true","750000000","769999999","20000000"
"","","","","","","","","","","","[SUBTOTAL]","20000000"
"{AE3ED6AE-2654-4B82-A4BA-331265BB8972}","78","msft:rm/algorithm/pkey/2005","ProfessionalAcadR","RTM_ProfessionalAcad_OEM_Perp","OEM:NONSLP","FALSE","X16-07344","ltPERP","true","308000000","317999999","10000000"
"","","","","","","","X16-08659","ltPERP","true","408000000","417999999","10000000"
"","","","","","","","X16-08660","ltPERP","true","437000000","446999999","10000000"
"","","","","","","","X16-08661","ltPERP","true","477000000","486999999","10000000"
"","","","","","","","X16-08662","ltPERP","true","447000000","456999999","10000000"
"","","","","","","","X16-08663","ltPERP","true","426000000","435999999","10000000"
"","","","","","","","X16-09179","ltPERP","true","69000000","110999999","42000000"
"","","","","","","","X16-09179","ltPERP","true","112000000","169999999","58000000"
"","","","","","","","","","","","[SUBTOTAL]","160000000"
"{F63B84D0-ED9D-4B05-99E4-19D33FD7AFBD}","22","msft:rm/algorithm/pkey/2005","HomeBusinessR","RTM_HomeBusiness_OEM_Perp","OEM:NONSLP","FALSE","X16-07351","ltPERP","true","700000000","999999999","300000000"
"","","","","","","","","","","","[SUBTOTAL]","300000000"
