"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{a0e0b83f-4d7b-4139-872d-7c306464b431}","204","msft:rm/algorithm/pkey/2005","Premium VL","Digital License Office Mac Standard 2011 DLA #5 GVLK","Volume:GVLK","FALSE","X17-43484","Volume","true","87600100","87600199","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{d2f0e80e-3776-4ab9-a35f-7527679babc8}","204","msft:rm/algorithm/pkey/2005","H and B","Digital License Off Mac Home Business 1PK 2011 DLA 2 Retail","Retail","FALSE","X17-07762","Retail","true","50000000","53999999","4000000"
"","","","","","","","X17-07762","Retail","true","237000000","244999999","8000000"
"","","","","","","","X17-07763","Retail","true","58000000","58999999","1000000"
"","","","","","","","X17-07763","Retail","true","59300000","60999999","1700000"
"","","","","","","","X17-07763","Retail","true","267000000","269699999","2700000"
"","","","","","","","X17-07761","Retail","true","46000000","49999999","4000000"
"","","","","","","","X17-07761","Retail","true","56000000","57499999","1500000"
"","","","","","","","X17-07761","Retail","true","226000000","236999999","11000000"
"","","","","","","","X17-07766","Retail","true","61000000","63999999","3000000"
"","","","","","","","X17-07766","Retail","true","260000000","262999999","3000000"
"","","","","","","","X17-07767","Retail","true","10030000","10039999","10000"
"","","","","","","","X17-07767","Retail","true","10001000","10010999","10000"
"","","","","","","","X17-07764","Retail","true","272000000","273299999","1300000"
"","","","","","","","X17-07764","Retail","true","64000000","64999999","1000000"
"","","","","","","","X17-07764","Retail","true","65700000","65999999","300000"
"","","","","","","","X17-07765","Retail","true","54000000","55999999","2000000"
"","","","","","","","X17-07765","Retail","true","57500000","57999999","500000"
"","","","","","","","X17-07765","Retail","true","245000000","249999999","5000000"
"","","","","","","","X17-07772","Retail","true","29000000","38999999","10000000"
"","","","","","","","X17-07772","Retail","true","250000000","259999999","10000000"
"","","","","","","","","","","","[SUBTOTAL]","70020000"
"{ba442671-b677-4592-a0f2-dc5ab9f1223e}","204","msft:rm/algorithm/pkey/2005","H and S","Digital License Office Mac Home Student 2011 DLA 1 Retail","Retail","FALSE","X17-07760","Retail","true","39000000","43899999","4900000"
"","","","","","","","X17-07760","Retail","true","44900000","44999999","100000"
"","","","","","","","X17-07760","Retail","true","212000000","221999999","10000000"
"","","","","","","","X17-07759","Retail","true","11000000","17999999","7000000"
"","","","","","","","X17-07759","Retail","true","43900000","44899999","1000000"
"","","","","","","","X17-07759","Retail","true","45000000","45999999","1000000"
"","","","","","","","X17-07759","Retail","true","666000000","755999999","90000000"
"","","","","","","","","","","","[SUBTOTAL]","114000000"
"{6fd3f79e-715a-436d-9c7b-67b6fc06643c}","204","msft:rm/algorithm/pkey/2005","H and B","Digital License Off Mac Home Business 1PK 2011 DLA #2 Rtl","Retail","FALSE","X17-43478","Retail","true","273900000","273999999","100000"
"","","","","","","","X17-43478","Retail","true","84200000","84299999","100000"
"","","","","","","","X17-43479","Retail","true","84300000","84399999","100000"
"","","","","","","","X17-43479","Retail","true","87800000","87999999","200000"
"","","","","","","","X17-43480","Retail","true","89000000","89399999","400000"
"","","","","","","","X17-43480","Retail","true","84400000","84799999","400000"
"","","","","","","","X17-43475","Retail","true","271000000","271799999","800000"
"","","","","","","","X17-43475","Retail","true","80800000","81599999","800000"
"","","","","","","","X17-43474","Retail","true","336000000","336799999","800000"
"","","","","","","","X17-43474","Retail","true","80000000","80799999","800000"
"","","","","","","","X17-43477","Retail","true","82200000","84199999","2000000"
"","","","","","","","X17-43477","Retail","true","263000000","264999999","2000000"
"","","","","","","","X17-43476","Retail","true","81600000","82199999","600000"
"","","","","","","","X17-43476","Retail","true","266400000","266999999","600000"
"","","","","","","","","","","","[SUBTOTAL]","9700000"
"{7c09a98e-1719-4335-80ed-a96666c9e2dd}","204","msft:rm/algorithm/pkey/2005","Excel Standalone","Digital License Excel Mac 2011 DLA 4 Retail","Retail","FALSE","X17-07768","Retail","true","269700000","269999999","300000"
"","","","","","","","X17-07768","Retail","true","20800000","21099999","300000"
"","","","","","","","","","","","[SUBTOTAL]","600000"
"{26e83771-22c2-47b2-abd6-53875c965016}","204","msft:rm/algorithm/pkey/2005","Word Standalone","Digital License Word Mac 2011 DLA 5 Retail","Retail","FALSE","X17-07769","Retail","true","273300000","273799999","500000"
"","","","","","","","X17-07769","Retail","true","20200000","20699999","500000"
"","","","","","","","","","","","[SUBTOTAL]","1000000"
"{3e343e58-70dc-425c-a29a-88145f02491a}","204","msft:rm/algorithm/pkey/2005","eHUP","Digital License Mac Office Home Use Prgrm 2011 DLA #1 Rtl","Retail","FALSE","X17-43473","Retail","true","271800000","271999999","200000"
"","","","","","","","X17-43473","Retail","true","21100000","21299999","200000"
"","","","","","","","","","","","[SUBTOTAL]","400000"
"{457b8c6d-0617-4c22-bf72-36096950898b}","204","msft:rm/algorithm/pkey/2005","Premium VL","Digital License Office Mac Standard 2011 DLA 8 VL GVLK","Volume:GVLK","FALSE","X17-07773","Volume","true","10011000","10011099","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{a3db444d-9835-4451-88ac-6853343cef4c}","204","msft:rm/algorithm/pkey/2005","PowerPoint Standalone","Digital License PowerPoint Mac 2011 DLA 6 Retail","Retail","FALSE","X17-07770","Retail","true","273800000","273899999","100000"
"","","","","","","","X17-07770","Retail","true","20700000","20799999","100000"
"","","","","","","","","","","","[SUBTOTAL]","200000"
"{a7dab309-a2a6-49a0-a159-cde77b94520f}","204","msft:rm/algorithm/pkey/2005","eHUP","Digital License Mac Office Home Use Prgrm 2011 DLA 7 Retail","Retail","FALSE","X17-07771","Retail","true","18000000","18999999","1000000"
"","","","","","","","X17-07771","Retail","true","59000000","59299999","300000"
"","","","","","","","X17-07771","Retail","true","65000000","65299999","300000"
"","","","","","","","X17-07771","Retail","true","65300000","65699999","400000"
"","","","","","","","X17-07771","Retail","true","222000000","225999999","4000000"
