"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"29A84DA1-66A8-49E7-876F-3AF4FC4767E8","4372","msft:rm/algorithm/pkey/2009","Enterprise","SQL Server 2019 RTM Enterprise Volume:GVLK","Volume:GVLK","FALSE","X22-11577","VOLUME","true","0","499","500"
"","","","","","","","X22-11576","VOLUME","true","500","999","500"
"","","","","","","","","","","","[SUBTOTAL]","1000"
"053C6D13-DE95-45DF-BCC2-C2FD443EE5ED","4373","msft:rm/algorithm/pkey/2009","Enterprise","SQL Server 2019 RTM Enterprise Volume:GVLK","Volume:GVLK","FALSE","X22-11578","VOLUME","true","0","499","500"
"","","","","","","","X22-11579","VOLUME","true","500","999","500"
"","","","","","","","","","","","[SUBTOTAL]","1000"
"AE5BBE39-AD85-4C67-A6FE-3825675A7DC6","4374","msft:rm/algorithm/pkey/2009","Enterprise Core","SQL Server 2019 RTM Enterprise Core Volume:GVLK","Volume:GVLK","FALSE","X22-11580","VOLUME","true","0","999","1000"
"","","","","","","","X22-11581","VOLUME","true","1000","1999","1000"
"","","","","","","","","","","","[SUBTOTAL]","2000"
"28A696FC-3150-4841-AEBC-16CADDAA854C","4375","msft:rm/algorithm/pkey/2009","Enterprise Core","SQL Server 2019 RTM Enterprise Core Volume:GVLK","Volume:GVLK","FALSE","X22-11582","VOLUME","true","0","999","1000"
"","","","","","","","X22-11583","VOLUME","true","1000","1999","1000"
"","","","","","","","","","","","[SUBTOTAL]","2000"
"52660044-3B93-4FFB-9446-4030D7E4EE48","4376","msft:rm/algorithm/pkey/2009","Standard","SQL Server 2019 RTM Standard OEM:NONSLP","OEM:NONSLP","FALSE","X22-11585","Retail","true","0","999999","1000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000"
"3AA61410-C51F-4B62-AD65-C9E460039F79","4383","msft:rm/algorithm/pkey/2009","Standard","SQL Server 2019 RTM Standard OEM:NONSLP","OEM:NONSLP","FALSE","X22-11584","Retail","true","0","999999","1000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000"
"508D56D3-32AE-4EE5-BB9C-51404E18BF70","4377","msft:rm/algorithm/pkey/2009","Standard","SQL Server 2019 RTM Standard Retail","Retail","FALSE","X22-11587","Retail","true","0","49999","50000"
"","","","","","","","X22-11586","Retail","true","50000","2049999","2000000"
"","","","","","","","X22-11589","Retail","true","2050000","4049999","2000000"
"","","","","","","","X22-11588","Retail","true","4050000","6049999","2000000"
"","","","","","","","X22-11606","Retail","true","8050000","8050499","500"
"","","","","","","","X22-11602","Retail","true","6050000","8049999","2000000"
"","","","","","","","","","","","[SUBTOTAL]","8050500"
"69C242D5-A5E0-40F4-8EE0-373CDF308E52","4378","msft:rm/algorithm/pkey/2009","Standard","SQL Server 2019 RTM Standard Retail","Retail","FALSE","X22-11591","Retail","true","4000500","4050499","50000"
"","","","","","","","X22-11593","Retail","true","4050500","6050499","2000000"
"","","","","","","","X22-11592","Retail","true","6050500","8050499","2000000"
"","","","","","","","X22-11604","Retail","true","500","2000499","2000000"
"","","","","","","","X22-11607","Retail","true","0","499","500"
"","","","","","","","X22-11605","Retail","true","2000500","4000499","2000000"
"","","","","","","","","","","","[SUBTOTAL]","8050500"
"740B9D2D-22E0-4F88-9C0C-D0E1A36B4290","4379","msft:rm/algorithm/pkey/2009","Standard","SQL Server 2019 RTM Standard Volume:GVLK","Volume:GVLK","FALSE","X22-11594","VOLUME","true","0","499","500"
"","","","","","","","X22-11600","VOLUME","true","500","999","500"
"","","","","","","","","","","","[SUBTOTAL]","1000"
"4647CD6E-BB8E-43CC-AE45-F6DACB02A55F","4380","msft:rm/algorithm/pkey/2009","Standard","SQL Server 2019 RTM Standard Volume:GVLK","Volume:GVLK","FALSE","X22-11596","VOLUME","true","500","999","500"
"","","","","","","","X22-11603","VOLUME","true","0","499","500"
"","","","","","","","","","","","[SUBTOTAL]","1000"
"40C889FA-CCF8-40EB-8D6E-CFC4B5FA9E00","4381","msft:rm/algorithm/pkey/2009","Web","SQL Server 2019 RTM Web Volume:GVLK","Volume:GVLK","FALSE","X22-11597","VOLUME","true","0","499","500"
"","","","","","","","X22-11598","VOLUME","true","500","999","500"
"","","","","","","","","","","","[SUBTOTAL]","1000"
"4E55A521-9126-4672-8587-9C292C35781A","4382","msft:rm/algorithm/pkey/2009","Web","SQL Server 2019 RTM Web Volume:GVLK","Volume:GVLK","FALSE","X22-11599","VOLUME","true","0","499","500"
"","","","","","","","X22-11601","VOLUME","true","500","999","500"
"","","","","","","","","","","","[SUBTOTAL]","1000"
