"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{35466B1A-B17B-4DFB-A703-F74E2A1F5F5E}","2145","msft:rm/algorithm/pkey/2009","ProjectServerNone","Office15_ProjectServer_Bypass","Retail","FALSE","X18-32810","ltFree","true","0","998999999","999000000"
"","","","","","","","","","","","[SUBTOTAL]","999000000"
"{BC7BAF08-4D97-462C-8411-341052402E71}","2146","msft:rm/algorithm/pkey/2009","ProjectServerNone","Office15_ProjectServer_BypassTrial180","Retail","FALSE","X18-32811","ltPTP","true","0","998999999","999000000"
"","","","","","","","","","","","[SUBTOTAL]","999000000"
"{C5D855EE-F32B-4A1C-97A8-F0A28CE02F9C}","1999","msft:rm/algorithm/pkey/2009","MOSSNone","Office15_MOSS_Bypass","Retail","FALSE","X18-32892","ltFree","true","0","998999999","999000000"
"","","","","","","","","","","","[SUBTOTAL]","999000000"
"{CBF97833-C73A-4BAF-9ED3-D47B3CFF51BE}","2000","msft:rm/algorithm/pkey/2009","MOSSNone","Office15_MOSS_BypassTrial180","Retail","FALSE","X18-32893","ltPTP","true","0","998999999","999000000"
"","","","","","","","","","","","[SUBTOTAL]","999000000"
"{B695D087-638E-439A-8BE3-57DB429D8A77}","2001","msft:rm/algorithm/pkey/2009","MOSSFISEntNone","Office15_MOSSFISEnt_Bypass","Retail","FALSE","X18-32894","ltFree","true","0","998999999","999000000"
"","","","","","","","","","","","[SUBTOTAL]","999000000"
"{2F05F7AA-6FF7-49AB-884A-14696A7BD1A4}","2002","msft:rm/algorithm/pkey/2009","MOSSFISEntNone","Office15_MOSSFISEnt_BypassTrial180","Retail","FALSE","X18-32895","ltPTP","true","0","998999999","999000000"
"","","","","","","","","","","","[SUBTOTAL]","999000000"
"{2CD676C7-3937-4AC7-B1B5-565EDA761F13}","2003","msft:rm/algorithm/pkey/2009","MOSSFISStdNone","Office15_MOSSFISStd_Bypass","Retail","FALSE","X18-32896","ltFree","true","0","998999999","999000000"
"","","","","","","","","","","","[SUBTOTAL]","999000000"
"{062FDB4F-3FCB-4A53-9B36-03262671B841}","2004","msft:rm/algorithm/pkey/2009","MOSSFISStdNone","Office15_MOSSFISStd_BypassTrial180","Retail","FALSE","X18-32897","ltPTP","true","0","998999999","999000000"
"","","","","","","","","","","","[SUBTOTAL]","999000000"
"{B7D84C2B-0754-49E4-B7BE-7EE321DCE0A9}","2005","msft:rm/algorithm/pkey/2009","MOSSPremiumNone","Office15_MOSSPremium_Bypass","Retail","FALSE","X18-32898","ltFree","true","0","998999999","999000000"
"","","","","","","","","","","","[SUBTOTAL]","999000000"
"{298A586A-E3C1-42F0-AFE0-4BCFDC2E7CD0}","2006","msft:rm/algorithm/pkey/2009","MOSSPremiumNone","Office15_MOSSPremium_BypassTrial180","Retail","FALSE","X18-32899","ltPTP","true","0","998999999","999000000"
"","","","","","","","","","","","[SUBTOTAL]","999000000"
"{7930E9BD-12B8-4B32-88CE-733B4A594EDF}","2173","msft:rm/algorithm/pkey/2009","ServerLPKNone","Office15_ServerLPK_Bypass","Retail","FALSE","X18-33238","ltFree","true","0","998999999","999000000"
"","","","","","","","","","","","[SUBTOTAL]","999000000"
"{D6B57A0D-AE69-4A3E-B031-1F993EE52EDC}","2208","msft:rm/algorithm/pkey/2009","WCServerNone","Office15_WCServer_Bypass","Retail","FALSE","X18-33328","ltFree","true","0","998999999","999000000"
"","","","","","","","","","","","[SUBTOTAL]","999000000"
