"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{e2ffde11-a890-4151-b7d3-c2a8178957a5}","204","msft:rm/algorithm/pkey/2005","System Center","System Center 2012 Virtual Machine Manager FPP (Eval) (Static Key) Retail","Retail","FALSE","X17-48195","Retail","true","89600200","89600201","2"
"","","","","","","","","","","","[SUBTOTAL]","2"
"{d4c86871-d77d-4896-8f11-16611db9b27e}","204","msft:rm/algorithm/pkey/2005","System Center","System Center 2012 Virtual Machine Manager FPP Retail","Retail","FALSE","X17-48194","Retail","true","92700000","94699999","2000000"
"","","","","","","","","","","","[SUBTOTAL]","2000000"
"{2e55c0ec-4e49-4c29-918c-258da231a8aa}","204","msft:rm/algorithm/pkey/2005","System Center","System Center 2012 Virtual Machine Manager OEM OEM:NONSLP","OEM:NONSLP","FALSE","X17-48197","OEM","true","95700000","97699999","2000000"
"","","","","","","","X17-48197","OEM","true","122000000","122499999","500000"
"","","","","","","","","","","","[SUBTOTAL]","2500000"
"{200cd3f8-acb2-46b7-b172-b92a182799f9}","204","msft:rm/algorithm/pkey/2005","System Center","System Center 2012 Virtual Machine Manager NFR Retail","Retail","FALSE","X17-48196","Retail","true","94700000","95699999","1000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000"
"{3b6b623e-fe82-42c3-9343-a22708042213}","204","msft:rm/algorithm/pkey/2005","System Center","System Center 2012 Virtual Machine Manager VL (Static Key) Volume:GVLK","Volume:GVLK","FALSE","X17-48198","Volume","true","92600202","92600203","2"
"","","","","","","","","","","","[SUBTOTAL]","2"
