"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{1c7c6dc3-dc46-4a89-bf6c-0f447fd06642}","204","msft:rm/algorithm/pkey/2005","Team Foundation Server Express","VS Dev11 RTM Team Foundation Server Express Retail","Retail","FALSE","X18-15738","Retail","true","4006300","4006399","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{24f9a976-109d-45a8-b3e9-6a449c4d659c}","204","msft:rm/algorithm/pkey/2005","Visual Studio Agents","VS Dev11 RTM Visual Studio Agents Retail","Retail","FALSE","X18-15739","Retail","true","4006500","4006599","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{f29e675e-7b2f-4c3a-9dab-41724de63a3f}","204","msft:rm/algorithm/pkey/2005","Team Foundation Server","VS Dev11 RTM Team Foundation Server Retail","Retail","FALSE","X18-15734","Retail","true","4005900","4005999","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{976f5d7b-d133-4edd-b72a-95b0d5773c38}","204","msft:rm/algorithm/pkey/2005","Professional","VS Dev11 RTM Professional Retail","Retail","FALSE","X18-15699","Retail","true","4003100","4003199","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{7485f262-8b07-499a-a824-f4ae1140713f}","204","msft:rm/algorithm/pkey/2005","Team Foundation Server Express","VS Dev11 RTM Team Foundation Server Express Retail","Retail","FALSE","X18-15736","Retail","true","4006100","4006199","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{9d87d2b1-4792-4845-9d55-3241fbf03f59}","204","msft:rm/algorithm/pkey/2005","Team Foundation Server Express","VS Dev11 RTM Team Foundation Server Express Retail","Retail","FALSE","X18-15737","Retail","true","4006200","4006299","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{f886680b-258c-4aa6-91ac-183de7be19bd}","204","msft:rm/algorithm/pkey/2005","Team Foundation Server","VS Dev11 RTM Team Foundation Server Retail","Retail","FALSE","X18-15730","Retail","true","4005600","4005699","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{fa0993be-3e5c-44ef-8732-ce014f281734}","204","msft:rm/algorithm/pkey/2005","Express for Windows Phone","VS Dev11 RTM Express for Windows Phone Retail","Retail","FALSE","X18-15695","Retail","true","4002700","4002799","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{c41e3fa4-fb4c-4e0a-a0b0-a43360921a36}","204","msft:rm/algorithm/pkey/2005","Express for Web","VS Dev11 RTM Express for Web Retail","Retail","FALSE","X18-15694","Retail","true","4002600","4002699","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{82780c12-dc28-4042-84b1-117fbad68228}","204","msft:rm/algorithm/pkey/2005","Express for Windows Phone","VS Dev11 RTM Express for Windows Phone Retail","Retail","FALSE","X18-15697","Retail","true","4002900","4002999","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{21b721bc-3fa1-4cc5-bb97-6afb561d06d4}","204","msft:rm/algorithm/pkey/2005","Express for Windows Phone","VS Dev11 RTM Express for Windows Phone Retail","Retail","FALSE","X18-15696","Retail","true","4002800","4002899","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{17533ffb-4f43-4210-a3f2-d9b4dafd44e2}","204","msft:rm/algorithm/pkey/2005","Express for Web","VS Dev11 RTM Express for Web Retail","Retail","FALSE","X18-15691","Retail","true","4002300","4002399","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{9964b447-908e-4ce7-b719-411b8d758f74}","204","msft:rm/algorithm/pkey/2005","Express for Windows","VS Dev11 RTM Express for Windows Retail","Retail","FALSE","X18-15690","Retail","true","4002200","4002299","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{08371569-74c5-418c-9914-7c662192cfca}","204","msft:rm/algorithm/pkey/2005","Express for Web","VS Dev11 RTM Express for Web Retail","Retail","FALSE","X18-15693","Retail","true","4002500","4002599","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{a4bb8265-26e3-44bb-a53a-b39e02b8b4b0}","204","msft:rm/algorithm/pkey/2005","Express for Web","VS Dev11 RTM Express for Web Retail","Retail","FALSE","X18-15692","Retail","true","4002400","4002499","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{51fa90f1-d6d7-4628-886a-2f9d4ba32803}","204","msft:rm/algorithm/pkey/2005","Test Professional","VS Dev11 RTM Test Professional Volume:GVLK","Volume:GVLK","FALSE","X18-15725","Volume","true","4004900","4004999","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{5ec2696a-c74d-4d38-ae36-c67ec5e44032}","204","msft:rm/algorithm/pkey/2005","Test Professional","VS Dev11 RTM Test Professional Retail","Retail","FALSE","X18-15726","Retail","true","4005000","4005099","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{62172ff1-4c0f-40fc-804b-3b07b04b3d39}","204","msft:rm/algorithm/pkey/2005","Test Professional","VS Dev11 RTM Test Professional Retail","Retail","FALSE","X18-15721","Retail","true","4004600","4004699","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{1813ee9a-c0ac-4aeb-97e8-f019646cc821}","204","msft:rm/algorithm/pkey/2005","Premium","VS Dev11 RTM Premium Retail","Retail","FALSE","X18-15718","Retail","true","4004300","4004399","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{6aa7e39d-598f-4cd3-86b9-d3d97e70b519}","204","msft:rm/algorithm/pkey/2005","Premium","VS Dev11 RTM Premium Volume:GVLK","Volume:GVLK","FALSE","X18-15719","Volume","true","4004400","4004499","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{8f03944f-42c5-4cfa-aff6-b3fac950a361}","204","msft:rm/algorithm/pkey/2005","Ultimate","VS Dev11 RTM Ultimate Retail","Retail","FALSE","X18-15714","Retail","true","4004000","4004099","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{1eb9ea40-396d-4183-8612-c3fb5c02e044}","204","msft:rm/algorithm/pkey/2005","Premium","VS Dev11 RTM Premium Retail","Retail","FALSE","X18-15715","Retail","true","4004100","4004199","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
