"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{5877273d-df9d-411a-8e81-568ed4290958}","9983","msft:rm/algorithm/pkey/2009","Prerelease;PrereleaseN;PrereleaseARM;Enterprise;EnterpriseN;Professional;ProfessionalN","ProdKey3 Win 9983 DLA 6 NQR Test Volume:CSVLK Vol Lic MLF","Volume:CSVLK","FALSE","X17-09104","Volume","true","3000000","3999999","1000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000"
"{99cb2a2c-f7ee-48e9-98b0-ae72906c6d45}","206","msft:rm/algorithm/pkey/2005","Prerelease;PrereleaseN;PrereleaseARM;Enterprise;EnterpriseN;Professional;ProfessionalN","Win Next Edition Next Volume:CSVLK","Volume:CSVLK","FALSE","X17-13830","Volume","true","10001900","10001999","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{c609957a-dc23-48b3-8c6b-31b303479de2}","206","msft:rm/algorithm/pkey/2005","ServerDatacenter;ServerEnterprise;ServerStandard;ServerWeb;ServerHPC;ServerMultiPointStandard;ServerMultiPointPremium","WinServer Next ServerDataCenter;ServerEnterprise;ServerWinFoundation;ServerStandard;ServerWeb;HPC;ServerMultipointStandard;ServerMultipointPremium Volume:CSVLK","Volume:CSVLK","FALSE","X17-53913","Volume","true","21001500","21011499","10000"
"","","","","","","","","","","","[SUBTOTAL]","10000"
"{c41d84be-1a07-4bf6-ab9d-b25a0ccf1b31}","1317","msft:rm/algorithm/pkey/2009","ServerDatacenter;ServerEnterprise;ServerStandard;ServerWeb;ServerHPC;ServerMultiPointStandard;ServerMultiPointPremium","WinServer Next ServerDataCenter;ServerEnterprise;ServerWinFoundation;ServerStandard;ServerWeb;HPC;ServerMultipointStandard;ServerMultipointPremium Volume:CSVLK","Volume:CSVLK","FALSE","X17-53914","Volume","true","1000000","999999999","999000000"
"","","","","","","","","","","","[SUBTOTAL]","999000000"
"{a40c3047-54c3-4bf9-8f09-fb7146cfcb02}","204","msft:rm/algorithm/pkey/2005","Prerelease;PrereleaseN;PrereleaseARM;Enterprise;EnterpriseN;Professional;ProfessionalN","WinNext Beta Prerelease;PrereleaseN;PrereleaseARM;Enterprise;EnterpriseN;Professional;ProfessionalN Volume:CSVLK","Volume:CSVLK","FALSE","X17-53293","Volume","true","10020000","10029999","10000"
"","","","","","","","","","","","[SUBTOTAL]","10000"
"{6343f5a9-1085-44bf-b43e-b9c09d38a73e}","1288","msft:rm/algorithm/pkey/2009","Prerelease;PrereleaseN;PrereleaseARM;Enterprise;EnterpriseN;Professional;ProfessionalN","WinNext Beta Prerelease;PrereleaseN;PrereleaseARM;Enterprise;EnterpriseN;Professional;ProfessionalN Volume:CSVLK","Volume:CSVLK","FALSE","X17-53394","Volume","true","1000000","999999999","999000000"
"","","","","","","","","","","","[SUBTOTAL]","999000000"
"{d188820a-cb63-4bad-a9a2-40b843ee23b7}","172","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN","Windows 7 All Volume Editions Volume:CSVLK","Volume:CSVLK","FALSE","X15-39736","Volume","true","199000300","199001299","1000"
"","","","","","","","X15-39737","Volume","true","1000800","1001799","1000"
"","","","","","","","X15-38851","Volume","true","145000000","145000099","100"
"","","","","","","","X15-38853","Volume","true","87000000","87000099","100"
"","","","","","","","X15-38928","Volume","true","37000000","49749999","12750000"
"","","","","","","","X15-38959","Volume","true","1082800","1132799","50000"
"","","","","","","","X15-38963","Volume","true","199201300","199301299","100000"
"","","","","","","","X15-38963","Volume","true","338000000","338599999","600000"
"","","","","","","","X15-38997","Volume","true","1000300","1000799","500"
"","","","","","","","","","","","[SUBTOTAL]","13502700"
"{8fe15d04-fc66-40e6-bf34-942481e06fd8}","168","msft:rm/algorithm/pkey/2005","ServerDatacenter;ServerEnterprise;ServerStandard;ServerWeb;ServerHPC","Server 2008 R2 DC Volume:CSVLK (KMS_C)","Volume:CSVLK","FALSE","X15-34696","Volume","true","305000000","312119999","7120000"
"","","","","","","","X15-34697","Volume","true","6800000","6919999","120000"
"","","","","","","","","","","","[SUBTOTAL]","7240000"
"{c99b641f-c4ea-4e63-bec3-5ed2ccd0f357}","168","msft:rm/algorithm/pkey/2005","ServerStandard;ServerEnterprise;ServerWeb;ServerHPC","Server 2008 R2 Std and Ent Volume:CSVLK (KMS_B)","Volume:CSVLK","FALSE","X15-34717","Volume","true","312880000","332999999","20120000"
"","","","","","","","X15-34718","Volume","true","1288000","1407999","120000"
"","","","","","","","X15-59684","Volume","true","756000000","765999999","10000000"
"","","","","","","","","","","","[SUBTOTAL]","30240000"
"{f73d1bcd-0802-47dd-b2d9-81bf2f8c0744}","168","msft:rm/algorithm/pkey/2005","ServerWeb;ServerHPC","Server 2008 R2 Web and CC Volume:CSVLK (KMS_A)","Volume:CSVLK","FALSE","X15-34719","Volume","true","249000000","259119999","10120000"
"","","","","","","","X15-34720","Volume","true","259120000","259239999","120000"
"","","","","","","","","","","","[SUBTOTAL]","10240000"
"{f9aff482-8e81-47a6-8cf6-74be7649be6f}","140","msft:rm/algorithm/pkey/2005","Professional;ProfessionalN;Enterprise;EnterpriseN","Win 7 client all editions CSVLK","Volume:CSVLK","FALSE","X15-04705","Volume","true","170350000","170355999","6000"
"","","","","","","","","","","","[SUBTOTAL]","6000"
"{515ad9e6-67a8-4224-8c68-6d073038d59f}","140","msft:rm/algorithm/pkey/2005","ServerEnterprise;ServerStandard;ServerWeb;ServerHPC","Win 7 Server Standard & Enterprise CSVLK","Volume:CSVLK","FALSE","X14-86322","Volume","true","15883000","15883999","1000"
"","","","","","","","","","","","[SUBTOTAL]","1000"
"{95e4a692-f166-45c5-a7f8-ad76c2c1e6ad}","140","msft:rm/algorithm/pkey/2005","ServerWeb;ServerHPC","Win 7 Server Web CSVLK","Volume:CSVLK","FALSE","X14-86347","Volume","true","15869000","15869499","500"
"","","","","","","","","","","","[SUBTOTAL]","500"
"{fed62577-3bef-4309-90e8-671abdc076d8}","140","msft:rm/algorithm/pkey/2005","ServerDatacenter;ServerEnterprise;ServerStandard;ServerWeb;ServerHPC","Win 7 Server Datacenter CSVLK","Volume:CSVLK","FALSE","X14-86316","Volume","true","15871500","15871999","500"
"","","","","","","","","","","","[SUBTOTAL]","500"
