"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{f2fcf500-9451-458a-b15c-b80e6889c838}","3568","msft:rm/algorithm/pkey/2009","Core","Win 10 Pre-Release Core OEM:DM","OEM:DM","FALSE","[TH]X20-35484","OEM","true","0","999999998","999999999"
"","","","","","","","","","","","[SUBTOTAL]","999999999"
"{0e670d3a-4b91-49c4-bc4a-f4b0a7c13c0c}","3569","msft:rm/algorithm/pkey/2009","Core","Win 10 Pre-Release Core OEM:NONSLP","OEM:NONSLP","FALSE","[TH]X20-35483","OEM","true","0","999999998","999999999"
"","","","","","","","","","","","[SUBTOTAL]","999999999"
"{8856f6c4-77b5-43e8-9d3a-f743888913ee}","3570","msft:rm/algorithm/pkey/2009","Core","Win 10 Pre-Release Core Retail","Retail","FALSE","[TH]X20-35482","Retail","true","0","249999999","250000000"
"","","","","","","","[TH]X20-35481","Retail","true","250000000","499999999","250000000"
"","","","","","","","[TH]res-v3570","Retail","true","500000000","999999999","500000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{63ccfe35-779e-4eff-b5d8-6f849505c39c}","3571","msft:rm/algorithm/pkey/2009","Core","Win 10 Pre-Release Core Retail Qihoo","Retail","FALSE","[TH]X20-35486","Retail","true","0","99","100"
"","","","","","","","[TH]X20-35487","Retail","true","100","199","100"
"","","","","","","","[TH]res-v3571","Retail","true","200","999999999","999999800"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{a8be2409-e3b4-4bf1-a9ce-836d1fc05c60}","3572","msft:rm/algorithm/pkey/2009","Core","Win 10 Pre-Release Core Retail Tencent","Retail","FALSE","[TH]X20-35485","Retail","true","0","99","100"
"","","","","","","","[TH]X20-35488","Retail","true","100","199","100"
"","","","","","","","[TH]res-v3572","Retail","true","200","999999999","999999800"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{903663f7-d2ab-49c9-8942-14aa9e0a9c72}","3573","msft:rm/algorithm/pkey/2009","Core","Win 10 Pre-Release Core Volume:GVLK","Volume:GVLK","FALSE","[TH]X20-35490","Volume","true","0","999999998","999999999"
"","","","","","","","","","","","[SUBTOTAL]","999999999"
"{b2646afb-f245-467b-9517-582504b034f8}","3574","msft:rm/algorithm/pkey/2009","CoreCountrySpecific","Win 10 Pre-Release CoreCountrySpecific OEM:DM","OEM:DM","FALSE","[TH]X20-35492","OEM","true","0","999999998","999999999"
