"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{3a351259-cd74-4e6e-9e85-820687bbd337}","116","msft:rm/algorithm/pkey/986","Starter","Windows Vista Starter","Retail","FALSE","X11-38022","","true","127400000","127599999","200000"
"","","","","","","","X11-73030","","true","24000000","24999999","1000000"
"","","","","","","","X11-73619","","true","137000000","137999999","1000000"
"","","","","","","","X11-43878","","true","104000000","104999999","1000000"
"","","","","","","","","","","","[SUBTOTAL]","3200000"
"{c0be86d5-c12e-4658-880c-3079a2b70a42}","116","msft:rm/algorithm/pkey/986","HomeBasic","Windows Vista Home Basic","Retail","FALSE","X11-38023","","true","127200000","127399999","200000"
"","","","","","","","X11-73018","","true","16000000","16999999","1000000"
"","","","","","","","X11-73027","","true","21000000","21999999","1000000"
"","","","","","","","X11-73609","","true","129000000","129999999","1000000"
"","","","","","","","X11-73616","","true","134000000","134999999","1000000"
"","","","","","","","X11-43879","","true","105000000","105999999","1000000"
"","","","","","","","","","","","[SUBTOTAL]","5200000"
"{68d73c70-5fdd-42dd-bfd0-476d274fcca6}","116","msft:rm/algorithm/pkey/986","HomeBasicN","Windows Vista Home Basic N","Retail","FALSE","X11-52679","","true","102400000","102499999","100000"
"","","","","","","","","","","","[SUBTOTAL]","100000"
"{6a426eed-440e-4dcc-8661-2b0731ef764f}","116","msft:rm/algorithm/pkey/986","HomePremium","Windows Vista Home Premium","Retail","FALSE","X11-46534","","true","102200000","102299999","100000"
"","","","","","","","X11-73017","","true","17000000","17999999","1000000"
"","","","","","","","X11-73028","","true","22000000","22999999","1000000"
"","","","","","","","X11-73608","","true","130000000","130999999","1000000"
"","","","","","","","X11-73617","","true","135000000","135999999","1000000"
"","","","","","","","X11-46536","","true","102000000","102099999","100000"
"","","","","","","","","","","","[SUBTOTAL]","4200000"
"{ef8251b0-5f16-4fdf-b30a-9be2286d1509}","116","msft:rm/algorithm/pkey/986","Ultimate","Windows Vista Ultimate","Retail","FALSE","X11-38024","","true","127000000","127199999","200000"
"","","","","","","","X11-38024","","true","100007049","100007049","1"
"","","","","","","","X11-43880","","true","106000000","106999999","1000000"
"","","","","","","","X11-53567","","true","112200000","113199999","1000000"
"","","","","","","","X11-53575","","true","114200000","115199999","1000000"
"","","","","","","","X11-78027","","true","25000000","25999999","1000000"
"","","","","","","","X11-80407","","true","138000000","138999999","1000000"
"","","","","","","","X11-38024","","false","127003706","127003706","1"
"","","","","","","","X11-85334","","true","139000000","143999999","5000000"
"","","","","","","","","","","","[SUBTOTAL]","10200002"
"{5ea7b0e1-8ab1-4a6a-9b64-f967db49fb2a}","116","msft:rm/algorithm/pkey/986","n/a","Windows Vista Ultimate - OCUR","Retail","FALSE","X11-53577","","true","127900000","128899999","1000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000"
"{e5513235-e240-4238-8127-505711fe321a}","140","msft:rm/algorithm/pkey/2005","n/a","Windows Vista Home Premium - OCUR","Retail","FALSE","X11-72439","","true","15300000","15399999","100000"
"","","","","","","","X11-72440","","true","15400000","15499999","100000"
"","","","","","","","","","","","[SUBTOTAL]","200000"
"{c9da5d13-70a5-4023-ab1e-ee9415c2c476}","116","msft:rm/algorithm/pkey/986","ServerEnterprise","Longhorn Enterprise Server (ADS)","Retail","FALSE","X11-38025","","true","127600000","127799999","200000"
"","","","","","","","X11-53574","","true","113200000","114199999","1000000"
"","","","","","","","X11-53576","","true","100000","1099999","1000000"
"","","","","","","","X11-53578","","true","610000000","610999999","1000000"
"","","","","","","","X11-38025","","false","127601003","127601003","1"
"","","","","","","","X11-43881","","true","107000000","107999999","1000000"
"","","","","","","","","","","","[SUBTOTAL]","4200001"
"{080abd49-69a4-490d-98f9-00c9dbb748a6}","116","msft:rm/algorithm/pkey/986","ServerEnterpriseIA64","Longhorn Enterprise Server - IA64","Retail","FALSE","X11-49467","","true","127800000","127899999","100000"
"","","","","","","","X11-49467","","false","127800074","127800074","1"
"","","","","","","","X11-73025","","true","19000000","19999999","1000000"
"","","","","","","","X11-73026","","true","20000000","20999999","1000000"
"","","","","","","","X11-73612","","true","132000000","132999999","1000000"
"","","","","","","","","","","","[SUBTOTAL]","3100001"
"{5a99526c-1c09-4481-80fb-b60e8b3d99f8}","140","msft:rm/algorithm/pkey/2005","ServerEnterprise","Longhorn Enterprise Server - GVLK","Volume","FALSE","X11-73031","","true","15500000","15599999","100000"
"","","","","","","","","","","","[SUBTOTAL]","100000"
"{da638349-358a-4e04-bdcb-c85c8ea036a9}","140","msft:rm/algorithm/pkey/2005","ServerEnterprise","Longhorn Enterprise Server - MAK","Volume","FALSE","X11-73032","","true","15600000","15699999","100000"
"","","","","","","","","","","","[SUBTOTAL]","100000"
"{71915630-6184-4aa2-8a02-420b14b96f25}","116","msft:rm/algorithm/pkey/986","ServerStandard","Longhorn Standard Server","Retail","FALSE","X11-49466","","true","102300000","102399999","100000"
"","","","","","","","","","","","[SUBTOTAL]","100000"
"{a2f9cc7b-aa41-4386-b745-8e9b1c831a44}","116","msft:rm/algorithm/pkey/986","ServerDatacenter","Longhorn Datacenter Server","Retail","FALSE","X11-51997","","true","0","99999","100000"
"","","","","","","","","","","","[SUBTOTAL]","100000"
"{277f97c7-ffde-47da-b7c4-6451bd00f2ec}","116","msft:rm/algorithm/pkey/986","Business","Windows Vista Business/SB","Retail","FALSE","X11-46535","","true","102100000","102199999","100000"
"","","","","","","","X11-73023","","true","18000000","18999999","1000000"
"","","","","","","","X11-73029","","true","23000000","23999999","1000000"
"","","","","","","","X11-73611","","true","131000000","131999999","1000000"
"","","","","","","","X11-73618","","true","136000000","136999999","1000000"
"","","","","","","","X11-46537","","true","111900000","111999999","100000"
"","","","","","","","","","","","[SUBTOTAL]","4200000"
"{5d0b855e-cbe7-4f6d-93bd-5ab3befc5bfe}","116","msft:rm/algorithm/pkey/986","BusinessN","Windows Vista Business N","Retail","FALSE","X11-52681","","true","112100000","112199999","100000"
