"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{f5087a06-1ddc-4de3-95b7-8d8a4dbb1b3f}","2281","msft:rm/algorithm/pkey/2009","ServerStandard","Windows vNext Test ServerStandard VT:IA","VT:IA","FALSE","[Blue]X18-78292","Retail","true","0","9999999","10000000"
"","","","","","","","","","","","[SUBTOTAL]","10000000"
"{062c594b-8615-41fd-a462-87670482165c}","2282","msft:rm/algorithm/pkey/2009","ServerDatacenter","Windows vNext Test ServerDatacenter VT:IA","VT:IA","FALSE","[Blue]X18-78293","Retail","true","0","9999999","10000000"
"","","","","","","","","","","","[SUBTOTAL]","10000000"
"{77560caa-e16a-41b4-b952-739a68ba67cb}","1777","msft:rm/algorithm/pkey/2009","CoreN","Win 8 RTM CoreN Retail","Retail","FALSE","[8]X18-15488","Retail","true","7000000","7299999","300000"
"","","","","","","","[8]X18-15673","Retail","true","23300000","23309999","10000"
"","","","","","","","[8]X18-15489","Retail","true","13300000","23299999","10000000"
"","","","","","","","[8]X18-15681","Retail","true","0","6999999","7000000"
"","","","","","","","[8]X18-21662","Retail","true","8300000","13299999","5000000"
"","","","","","","","[8]X18-21664","Retail","true","24310000","29309999","5000000"
"","","","","","","","[8]X18-21666","Retail","true","23310000","24309999","1000000"
"","","","","","","","[8]X18-21259","Retail","true","7300000","8299999","1000000"
"","","","","","","","[8]X18-48546","Retail","true","29310000","34309999","5000000"
"","","","","","","","[8]X18-48650","Retail","true","34310000","44309999","10000000"
"","","","","","","","","","","","[SUBTOTAL]","44310000"
"{625cc89b-693d-45c4-9967-123877fc41e4}","1778","msft:rm/algorithm/pkey/2009","Core","Win 8 RTM Core Retail","Retail","FALSE","[8]X18-15490","Retail","true","2000000","3337339","1337340"
"","","","","","","","[8]X18-15674","Retail","true","75915340","75925339","10000"
"","","","","","","","[8]X18-15491","Retail","true","4337340","11337339","7000000"
"","","","","","","","[8]X18-15492","Retail","true","11337340","55915339","44578000"
