"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{90da7373-1c51-430b-bf26-c97e9c5cdc31}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN","Win 10 RTM Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN;ProfessionalWorkstation;ProfessionalWorkstationN Volume:CSVLK","Volume:CSVLK","FALSE","[TH]X21-83176","Volume","true","256000000","265999999","10000000"
"","","","","","","","[TH]X21-83177","Volume","true","2855000","2859999","5000"
"","","","","","","","","","","","[SUBTOTAL]","10005000"
"{60b3ec1b-9545-4921-821f-311b129dd6f6}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN","Win 10 RTM Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN;ProfessionalWorkstation;ProfessionalWorkstationN Volume:CSVLK VL Additional Lab","Volume:CSVLK","FALSE","[TH]X21-83178","Volume","true","2860000","2864999","5000"
"","","","","","","","","","","","[SUBTOTAL]","5000"
"{2e7a9ad1-a849-4b56-babe-17d5a29fe4b4}","206","msft:rm/algorithm/pkey/2005","ServerDatacenter;ServerStandard","Windows Server 2019 RTM ServerDatacenter;ServerStandard Volume:CSVLK","Volume:CSVLK","FALSE","[TH]X21-83184","Volume","true","551000000","570999999","20000000"
"","","","","","","","[TH]X21-83185","Volume","true","2815000","2834999","20000"
"","","","","","","","","","","","[SUBTOTAL]","20020000"
"{9db83b52-9904-4326-8957-ebe6feedf37c}","206","msft:rm/algorithm/pkey/2005","ServerDatacenter;ServerStandard","Windows Server 2019 RTM ServerDatacenter;ServerStandard Volume:CSVLK VL Additional Lab","Volume:CSVLK","FALSE","[TH]X21-83186","Volume","true","2835000","2854999","20000"
"","","","","","","","","","","","[SUBTOTAL]","20000"
"{0724cb7d-3437-4cb7-93cb-830375d0079d}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN","Win 10 RTM Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN Volume:CSVLK","Volume:CSVLK","FALSE","[TH]X20-00859","Volume","true","390000000","404999999","15000000"
"","","","","","","","[TH]X20-00860","Volume","true","192500000","193199999","700000"
"","","","","","","","[TH]X20-00861","Volume","true","10024000","10028999","5000"
"","","","","","","","","","","","[SUBTOTAL]","15705000"
"{7a802526-4c94-4bd1-ba14-835a1aca2120}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN","Win 10 RTM Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN Volume:CSVLK VL Additional Lab","Volume:CSVLK","FALSE","[TH]X20-00862","Volume","true","10700000","10799999","100000"
"","","","","","","","","","","","[SUBTOTAL]","100000"
"{dcb88f6f-b090-405b-850e-dabcccf3693f}","206","msft:rm/algorithm/pkey/2005","ServerDatacenter;ServerStandard","Windows Server 2012 R2 RTM ServerDatacenter;ServerStandard Volume:CSVLK","Volume:CSVLK","FALSE","[Blue]X18-90705","Volume","true","271000000","310999999","40000000"
"","","","","","","","[Blue]X18-90706","Volume","true","311000000","330999999","20000000"
"","","","","","","","[Blue]X18-90707","Volume","true","109000000","109499999","500000"
"","","","","","","","","","","","[SUBTOTAL]","60500000"
"{acf1b4fd-1c55-4f2d-a60b-415ac958ad88}","206","msft:rm/algorithm/pkey/2005","ServerDatacenter;ServerStandard","Windows Server 2012 R2 RTM ServerDatacenter;ServerStandard Volume:CSVLK VL Additional Lab","Volume:CSVLK","FALSE","[Blue]X18-96163","Volume","true","192000000","192499999","500000"
"","","","","","","","","","","","[SUBTOTAL]","500000"
