"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{2e7a9ad1-a849-4b56-babe-17d5a29fe4b4}","206","msft:rm/algorithm/pkey/2005","ServerDatacenter;ServerStandard","Windows Server 2019 RTM ServerDatacenter;ServerStandard Volume:CSVLK","Volume:CSVLK","FALSE","[RS5]X21-83184","Volume","true","551000000","570999999","20000000"
"","","","","","","","[RS5]X21-83185","Volume","true","2815000","2834999","20000"
"","","","","","","","","","","","[SUBTOTAL]","20020000"
"{9db83b52-9904-4326-8957-ebe6feedf37c}","206","msft:rm/algorithm/pkey/2005","ServerDatacenter;ServerStandard","Windows Server 2019 RTM ServerDatacenter;ServerStandard Volume:CSVLK VL Additional Lab","Volume:CSVLK","FALSE","[RS5]X21-83186","Volume","true","2835000","2854999","20000"
"","","","","","","","","","","","[SUBTOTAL]","20000"
"{3c006fa7-3b03-45a4-93da-63ddc1bdce11}","206","msft:rm/algorithm/pkey/2005","ServerDatacenter;ServerStandard","Windows Server 2019 RTM ServerDatacenter;ServerStandard Volume:CSVLK Azure Only","Volume:CSVLK","FALSE","[RS5]X21-98315","Volume","true","2865000","2874999","10000"
"","","","","","","","","","","","[SUBTOTAL]","10000"
"{0724cb7d-3437-4cb7-93cb-830375d0079d}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN;ProfessionalWorkstation;ProfessionalWorkstationN","Win 10 RTM Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN;ProfessionalWorkstation;ProfessionalWorkstationN Volume:CSVLK","Volume:CSVLK","FALSE","[TH]X20-00859","Volume","true","390000000","404999999","15000000"
"","","","","","","","[TH]X20-00860","Volume","true","192500000","193199999","700000"
"","","","","","","","[TH]X20-00861","Volume","true","10024000","10028999","5000"
"","","","","","","","","","","","[SUBTOTAL]","15705000"
"{7a802526-4c94-4bd1-ba14-835a1aca2120}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN;ProfessionalWorkstation;ProfessionalWorkstationN","Win 10 RTM Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN;ProfessionalWorkstation;ProfessionalWorkstationN Volume:CSVLK VL Additional Lab","Volume:CSVLK","FALSE","[TH]X20-00862","Volume","true","10700000","10799999","100000"
"","","","","","","","","","","","[SUBTOTAL]","100000"
"{30a42c86-b7a0-4a34-8c90-ff177cb2acb7}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN;ProfessionalWorkstation;ProfessionalWorkstationN","Win 10 RTM Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN;ProfessionalWorkstation;ProfessionalWorkstationN Volume:CSVLK","Volume:CSVLK","FALSE","[RS1]X21-03400","Volume","true","531000000","545999999","15000000"
"","","","","","","","[RS1]X21-03401","Volume","true","2115000","2814999","700000"
"","","","","","","","[RS1]X21-03402","Volume","true","2010000","2014999","5000"
"","","","","","","","","","","","[SUBTOTAL]","15705000"
"{d552befb-48cc-4327-8f39-47d2d94f987c}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN;ProfessionalWorkstation;ProfessionalWorkstationN","Win 10 RTM Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN;ProfessionalWorkstation;ProfessionalWorkstationN Volume:CSVLK VL Additional Lab","Volume:CSVLK","FALSE","[RS1]X21-03403","Volume","true","2015000","2114999","100000"
"","","","","","","","","","","","[SUBTOTAL]","100000"
"{90da7373-1c51-430b-bf26-c97e9c5cdc31}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN;ProfessionalWorkstation;ProfessionalWorkstationN","Win 10 RTM Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN;ProfessionalWorkstation;ProfessionalWorkstationN Volume:CSVLK","Volume:CSVLK","FALSE","[RS5]X21-83176","Volume","true","256000000","265999999","10000000"
"","","","","","","","[RS5]X21-83177","Volume","true","2855000","2859999","5000"
"","","","","","","","","","","","[SUBTOTAL]","10005000"
"{60b3ec1b-9545-4921-821f-311b129dd6f6}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN;ProfessionalWorkstation;ProfessionalWorkstationN","Win 10 RTM Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN;ProfessionalWorkstation;ProfessionalWorkstationN Volume:CSVLK VL Additional Lab","Volume:CSVLK","FALSE","[RS5]X21-83178","Volume","true","2860000","2864999","5000"
"","","","","","","","","","","","[SUBTOTAL]","5000"
"{ecc0774a-aed3-4e1a-b815-2b31781adfea}","3858","msft:rm/algorithm/pkey/2009","EnterpriseG;EnterpriseGN","Win 10 RTM EnterpriseG;EnterpriseGN Volume:CSVLK","Volume:CSVLK","FALSE","[RS2]X21-24740","Volume","true","0","14999999","15000000"
"","","","","","","","[RS2]res-v3858","Volume","true","15000000","999999999","985000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
