"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{d6992aac-29e7-452a-bf10-bbfb8ccabe59}","206","msft:rm/algorithm/pkey/2005","ServerDatacenter;ServerStandard;ServerMultiPointStandard;ServerMultiPointPremium","Windows Server 2016 RTM ServerDatacenter;ServerStandard Volume:CSVLK","Volume:CSVLK","FALSE","X21-03119","Volume","true","491000000","530999999","40000000"
"","","","","","","","X21-03120","Volume","true","471000000","490999999","20000000"
"","","","","","","","X21-03121","Volume","true","1010000","1509999","500000"
"","","","","","","","","","","","[SUBTOTAL]","60500000"
"{0724cb7d-3437-4cb7-93cb-830375d0079d}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN","Win 10 RTM Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN Volume:CSVLK","Volume:CSVLK","FALSE","X20-00859","Volume","true","390000000","404999999","15000000"
"","","","","","","","X20-00860","Volume","true","192500000","193199999","700000"
"","","","","","","","X20-00861","Volume","true","10024000","10028999","5000"
"","","","","","","","","","","","[SUBTOTAL]","15705000"
"{30a42c86-b7a0-4a34-8c90-ff177cb2acb7}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN","Win 10 RS1 RTM Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN Volume:CSVLK","Volume:CSVLK","FALSE","X21-03400","Volume","true","531000000","545999999","15000000"
"","","","","","","","X21-03401","Volume","true","2115000","2814999","700000"
"","","","","","","","X21-03402","Volume","true","2010000","2014999","5000"
"","","","","","","","","","","","[SUBTOTAL]","15705000"
"{20e938bb-df44-45ee-bde1-4e4fe7477f37}","206","msft:rm/algorithm/pkey/2005","ServerDatacenter;ServerStandard;ServerMultiPointStandard;ServerMultiPointPremium","Windows Server 2012 R2 RTM ServerDatacenter;ServerStandard Volume:CSVLK for Win10","Volume:CSVLK","FALSE","X20-19550","Volume","true","405000000","424999999","20000000"
"","","","","","","","X20-19551","Volume","true","193200000","193699999","500000"
"","","","","","","","X20-19552","Volume","true","10800000","10999999","200000"
"","","","","","","","","","","","[SUBTOTAL]","20700000"
"{29d0b60f-66da-4858-bcaf-9eb513cd310d}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN","Win 8.1 RTM Enterprise;EnterpriseN;Professional;ProfessionalN Volume:CSVLK","Volume:CSVLK","FALSE","X18-95346","Volume","true","339000000","353999999","15000000"
"","","","","","","","X18-95347","Volume","true","110000000","110699999","700000"
"","","","","","","","X18-95348","Volume","true","10013000","10017999","5000"
"","","","","","","","X18-95349","Volume","true","10600000","10699999","100000"
"","","","","","","","X18-95350","Volume","true","10018000","10022999","5000"
"","","","","","","","","","","","[SUBTOTAL]","15810000"
"{dcb88f6f-b090-405b-850e-dabcccf3693f}","206","msft:rm/algorithm/pkey/2005","ServerDatacenter;ServerStandard;ServerMultiPointStandard;ServerMultiPointPremium","Windows Server 2012 R2 RTM ServerDatacenter;ServerStandard Volume:CSVLK","Volume:CSVLK","FALSE","X18-90705","Volume","true","271000000","310999999","40000000"
"","","","","","","","X18-90706","Volume","true","311000000","330999999","20000000"
"","","","","","","","X18-90707","Volume","true","109000000","109499999","500000"
"","","","","","","","","","","","[SUBTOTAL]","60500000"
"{24259a22-3bf0-44af-a68b-1b858bce1894}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN","Win 8 RTM Enterprise;EnterpriseN;Professional;ProfessionalN Volume:CSVLK","Volume:CSVLK","FALSE","X18-10776","Volume","true","199000000","213999999","15000000"
"","","","","","","","X18-10777","Volume","true","18000000","18699999","700000"
"","","","","","","","X18-10778","Volume","true","10003000","10007999","5000"
"","","","","","","","X18-10779","Volume","true","10500000","10599999","100000"
"","","","","","","","X18-10780","Volume","true","10008000","10012999","5000"
"","","","","","","","","","","","[SUBTOTAL]","15810000"
"{044ba67a-4c54-47ee-941a-d6f2efaa6891}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN","Win 8 RTM Enterprise;EnterpriseN;Professional;ProfessionalN Volume:CSVLK VL Additional","Volume:CSVLK","FALSE","X18-20784","Volume","true","21100000","21599999","500000"
"","","","","","","","","","","","[SUBTOTAL]","500000"
"{7b37c913-252b-46be-ad80-b2b5ceade8af}","206","msft:rm/algorithm/pkey/2005","ServerDatacenter;ServerStandard;ServerMultiPointStandard;ServerMultiPointPremium","Windows Server 2012 RTM ServerDatacenter;ServerStandard;ServerMultiPointStandard;ServerMultiPointPremium Volume:CSVLK","Volume:CSVLK","FALSE","X18-09067","Volume","true","99000000","108999999","10000000"
"","","","","","","","X18-09068","Volume","true","152000000","191999999","40000000"
"","","","","","","","X18-09069","Volume","true","10100000","10499999","400000"
"","","","","","","","X18-09068","Volume","true","214000000","233999999","20000000"
"","","","","","","","","","","","[SUBTOTAL]","70400000"
"{fe27276b-a5a9-4b4d-88e3-14271beb79be}","206","msft:rm/algorithm/pkey/2005","ServerDatacenter;ServerStandard;ServerMultiPointStandard;ServerMultiPointPremium","Windows Server 2012 RTM ServerDatacenter;ServerStandard;ServerMultiPointStandard;ServerMultiPointPremium Volume:CSVLK VL Additional","Volume:CSVLK","FALSE","X18-20804","Volume","true","98500000","98999999","500000"
"","","","","","","","","","","","[SUBTOTAL]","500000"
