"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{d6992aac-29e7-452a-bf10-bbfb8ccabe59}","206","msft:rm/algorithm/pkey/2005","ServerDatacenter;ServerStandard","Windows Server 2016 RTM ServerDatacenter;ServerStandard Volume:CSVLK","Volume:CSVLK","FALSE","[Blue]X21-03119","Volume","true","491000000","530999999","40000000"
"","","","","","","","[Blue]X21-03120","Volume","true","471000000","490999999","20000000"
"","","","","","","","[Blue]X21-03121","Volume","true","1010000","1509999","500000"
"","","","","","","","","","","","[SUBTOTAL]","60500000"
"{0724cb7d-3437-4cb7-93cb-830375d0079d}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN","Win 10 RTM Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN Volume:CSVLK","Volume:CSVLK","FALSE","[Blue]X20-00859","Volume","true","390000000","404999999","15000000"
"","","","","","","","[Blue]X20-00860","Volume","true","192500000","193199999","700000"
"","","","","","","","[Blue]X20-00861","Volume","true","10024000","10028999","5000"
"","","","","","","","","","","","[SUBTOTAL]","15705000"
"{30a42c86-b7a0-4a34-8c90-ff177cb2acb7}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN","Win 10 RS1 RTM Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN Volume:CSVLK","Volume:CSVLK","FALSE","[Blue]X21-03400","Volume","true","531000000","545999999","15000000"
"","","","","","","","[Blue]X21-03401","Volume","true","2115000","2814999","700000"
"","","","","","","","[Blue]X21-03402","Volume","true","2010000","2014999","5000"
"","","","","","","","","","","","[SUBTOTAL]","15705000"
"{20e938bb-df44-45ee-bde1-4e4fe7477f37}","206","msft:rm/algorithm/pkey/2005","ServerDatacenter;ServerStandard","Windows Server 2012 R2 RTM ServerDatacenter;ServerStandard Volume:CSVLK for Win10","Volume:CSVLK","FALSE","[Blue]X20-19550","Volume","true","405000000","424999999","20000000"
"","","","","","","","[Blue]X20-19551","Volume","true","193200000","193699999","500000"
"","","","","","","","[Blue]X20-19552","Volume","true","10800000","10999999","200000"
"","","","","","","","","","","","[SUBTOTAL]","20700000"
"{9e3fde40-d4b3-4c1d-9bde-32735aa19b39}","206","msft:rm/algorithm/pkey/2005","ServerDatacenter;ServerStandard","Windows Server 2012 R2 RTM ServerDatacenter;ServerStandard Volume:CSVLK VL Additional Lab for Win10","Volume:CSVLK","FALSE","[Blue]X20-19553","Volume","true","17650000","17849999","200000"
"","","","","","","","","","","","[SUBTOTAL]","200000"
"{90da7373-1c51-430b-bf26-c97e9c5cdc31}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN","Win 10 RTM Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN;ProfessionalWorkstation;ProfessionalWorkstationN Volume:CSVLK","Volume:CSVLK","FALSE","[Blue]X21-83176","Volume","true","256000000","265999999","10000000"
"","","","","","","","[Blue]X21-83177","Volume","true","2855000","2859999","5000"
"","","","","","","","","","","","[SUBTOTAL]","10005000"
"{60b3ec1b-9545-4921-821f-311b129dd6f6}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN","Win 10 RTM Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN;ProfessionalWorkstation;ProfessionalWorkstationN Volume:CSVLK VL Additional Lab","Volume:CSVLK","FALSE","[Blue]X21-83178","Volume","true","2860000","2864999","5000"
"","","","","","","","","","","","[SUBTOTAL]","5000"
"{2e7a9ad1-a849-4b56-babe-17d5a29fe4b4}","206","msft:rm/algorithm/pkey/2005","ServerDatacenter;ServerStandard","Windows Server 2019 RTM ServerDatacenter;ServerStandard Volume:CSVLK","Volume:CSVLK","FALSE","[Blue]X21-83184","Volume","true","551000000","570999999","20000000"
"","","","","","","","[Blue]X21-83185","Volume","true","2815000","2834999","20000"
"","","","","","","","","","","","[SUBTOTAL]","20020000"
"{9db83b52-9904-4326-8957-ebe6feedf37c}","206","msft:rm/algorithm/pkey/2005","ServerDatacenter;ServerStandard","Windows Server 2019 RTM ServerDatacenter;ServerStandard Volume:CSVLK VL Additional Lab","Volume:CSVLK","FALSE","[Blue]X21-83186","Volume","true","2835000","2854999","20000"
"","","","","","","","","","","","[SUBTOTAL]","20000"
"{29d0b60f-66da-4858-bcaf-9eb513cd310d}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN","Win 8.1 RTM Enterprise;EnterpriseN;Professional;ProfessionalN Volume:CSVLK","Volume:CSVLK","FALSE","[Blue]X18-95346","Volume","true","339000000","353999999","15000000"
"","","","","","","","[Blue]X18-95347","Volume","true","110000000","110699999","700000"
"","","","","","","","[Blue]X18-95348","Volume","true","10013000","10017999","5000"
"","","","","","","","[Blue]X18-95349","Volume","true","10600000","10699999","100000"
"","","","","","","","[Blue]X18-95350","Volume","true","10018000","10022999","5000"
"","","","","","","","","","","","[SUBTOTAL]","15810000"
"{4614b66f-a1d7-441c-9731-23f22d0ff4e5}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN","Win 8.1 RTM Enterprise;EnterpriseN;Professional;ProfessionalN Volume:CSVLK VL Additional Lab","Volume:CSVLK","FALSE","[Blue]X18-95351","Volume","true","109500000","109999999","500000"
"","","","","","","","","","","","[SUBTOTAL]","500000"
"{dcb88f6f-b090-405b-850e-dabcccf3693f}","206","msft:rm/algorithm/pkey/2005","ServerDatacenter;ServerStandard","Windows Server 2012 R2 RTM ServerDatacenter;ServerStandard Volume:CSVLK","Volume:CSVLK","FALSE","[Blue]X18-90705","Volume","true","271000000","310999999","40000000"
"","","","","","","","[Blue]X18-90706","Volume","true","311000000","330999999","20000000"
"","","","","","","","[Blue]X18-90707","Volume","true","109000000","109499999","500000"
"","","","","","","","","","","","[SUBTOTAL]","60500000"
"{acf1b4fd-1c55-4f2d-a60b-415ac958ad88}","206","msft:rm/algorithm/pkey/2005","ServerDatacenter;ServerStandard","Windows Server 2012 R2 RTM ServerDatacenter;ServerStandard Volume:CSVLK VL Additional Lab","Volume:CSVLK","FALSE","[Blue]X18-96163","Volume","true","192000000","192499999","500000"
"","","","","","","","","","","","[SUBTOTAL]","500000"
