"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{c7c00280-b24d-4e82-89ca-4f1288eb1d9e}","2586","msft:rm/algorithm/pkey/2009","Core","Win 8.1 RTM Core OEM:DM","OEM:DM","FALSE","[Blue]X18-95433","OEM","true","108000000","905999999","798000000"
"","","","","","","","[Blue]X18-95434","OEM","true","906000000","909999999","4000000"
"","","","","","","","[Blue]X18-95435","OEM","true","910000000","961999999","52000000"
"","","","","","","","[Blue]X18-95436","OEM","true","0","4999999","5000000"
"","","","","","","","[Blue]X18-95437","OEM","true","5000000","104999999","100000000"
"","","","","","","","[Blue]X18-95603","OEM","true","107000000","107999999","1000000"
"","","","","","","","[Blue]X18-95604","OEM","true","105000000","105999999","1000000"
"","","","","","","","[Blue]X18-95605","OEM","true","106000000","106999999","1000000"
"","","","","","","","[Blue]res-v2586","OEM","true","962000000","999999999","38000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{a143fcf7-82ba-4829-b005-063a5fb76e82}","2622","msft:rm/algorithm/pkey/2009","CoreN","Win 8.1 RTM CoreN OEM:DM","OEM:DM","FALSE","[Blue]X18-95438","OEM","true","3000000","7999999","5000000"
"","","","","","","","[Blue]X18-95439","OEM","true","8000000","8499999","500000"
"","","","","","","","[Blue]X18-95440","OEM","true","8500000","8999999","500000"
"","","","","","","","[Blue]X18-95441","OEM","true","9000000","13999999","5000000"
"","","","","","","","[Blue]X18-95442","OEM","true","1000000","2999999","2000000"
"","","","","","","","[Blue]X18-95612","OEM","true","0","999999","1000000"
"","","","","","","","[Blue]X18-95613","OEM","true","14000000","14999999","1000000"
"","","","","","","","[Blue]X18-95614","OEM","true","15000000","15999999","1000000"
"","","","","","","","[Blue]res-v2622","OEM","true","16000000","999999999","984000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{cdcc4295-9acc-4fd9-a2b6-ade31f228d73}","2621","msft:rm/algorithm/pkey/2009","CoreCountrySpecific","Win 8.1 RTM CoreCountrySpecific OEM:DM","OEM:DM","FALSE","[Blue]X18-95443","OEM","true","3000000","272999999","270000000"
"","","","","","","","[Blue]X18-95444","OEM","true","273000000","314999999","42000000"
"","","","","","","","[Blue]X18-95445","OEM","true","315000000","317999999","3000000"
"","","","","","","","[Blue]X18-95446","OEM","true","318000000","322999999","5000000"
"","","","","","","","[Blue]X18-95447","OEM","true","323000000","422999999","100000000"
"","","","","","","","[Blue]X18-95609","OEM","true","0","999999","1000000"
"","","","","","","","[Blue]X18-95610","OEM","true","1000000","1999999","1000000"
"","","","","","","","[Blue]X18-95611","OEM","true","2000000","2999999","1000000"
"","","","","","","","[Blue]res-v2621","OEM","true","423000000","999999999","577000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{e2ca509a-a2f4-498b-ba09-297685d369ac}","2623","msft:rm/algorithm/pkey/2009","CoreSingleLanguage","Win 8.1 RTM CoreSingleLanguage OEM:DM","OEM:DM","FALSE","[Blue]X18-95448","OEM","true","11000000","910999999","900000000"
"","","","","","","","[Blue]X18-95449","OEM","true","911000000","952999999","42000000"
"","","","","","","","[Blue]X18-95450","OEM","true","1000000","3999999","3000000"
"","","","","","","","[Blue]X18-95451","OEM","true","6000000","10999999","5000000"
"","","","","","","","[Blue]X18-95615","OEM","true","0","999999","1000000"
"","","","","","","","[Blue]X18-95616","OEM","true","4000000","4999999","1000000"
"","","","","","","","[Blue]X18-95617","OEM","true","5000000","5999999","1000000"
"","","","","","","","[Blue]res-v2623","OEM","true","953000000","999999999","47000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{763fe1c2-d40f-4f3c-9a28-7a3af6f0d987}","2625","msft:rm/algorithm/pkey/2009","Professional","Win 8.1 RTM Professional OEM:DM","OEM:DM","FALSE","[Blue]X18-95456","OEM","true","5000000","824999999","820000000"
"","","","","","","","[Blue]X18-95457","OEM","true","825000000","867749999","42750000"
"","","","","","","","[Blue]X18-95458","OEM","true","867750000","919749999","52000000"
"","","","","","","","[Blue]X18-95459","OEM","true","919750000","969749999","50000000"
"","","","","","","","[Blue]X18-95460","OEM","true","0","4999999","5000000"
"","","","","","","","[Blue]X18-95618","OEM","true","969750000","970749999","1000000"
"","","","","","","","[Blue]X18-95619","OEM","true","970750000","971749999","1000000"
"","","","","","","","[Blue]X18-95620","OEM","true","971750000","972749999","1000000"
"","","","","","","","[Blue]res-v2625","OEM","true","972750000","999999999","27250000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{51b43152-a885-432f-a1cb-a575ca416784}","2587","msft:rm/algorithm/pkey/2009","Professional","Win 8.1 RTM Professional OEM:DM","OEM:DM","FALSE","[Blue]X18-95461","OEM","true","0","9999999","10000000"
"","","","","","","","[Blue]X18-95462","OEM","true","10000000","10499999","500000"
"","","","","","","","[Blue]X18-95463","OEM","true","10500000","15499999","5000000"
"","","","","","","","[Blue]X18-95464","OEM","true","15500000","45499999","30000000"
"","","","","","","","[Blue]X18-95585","OEM","true","45500000","46499999","1000000"
"","","","","","","","[Blue]res-v2587","OEM","true","46500000","999999999","953500000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{24c2ee7a-4a61-448d-a8b0-a1a08edfd867}","2588","msft:rm/algorithm/pkey/2009","ProfessionalN","Win 8.1 RTM ProfessionalN OEM:DM","OEM:DM","FALSE","[Blue]X18-95465","OEM","true","0","4999999","5000000"
"","","","","","","","[Blue]X18-95466","OEM","true","5000000","5499999","500000"
"","","","","","","","[Blue]X18-95467","OEM","true","5500000","5749999","250000"
"","","","","","","","[Blue]X18-95468","OEM","true","5750000","10749999","5000000"
"","","","","","","","[Blue]X18-95621","OEM","true","10750000","11749999","1000000"
"","","","","","","","[Blue]X18-95622","OEM","true","11750000","12749999","1000000"
"","","","","","","","[Blue]X18-95623","OEM","true","12750000","13749999","1000000"
"","","","","","","","[Blue]res-v2588","OEM","true","13750000","999999999","986250000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
