"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{0567073a-7d74-403b-b2d5-6b35da372d8d}","3258","msft:rm/algorithm/pkey/2009","Core","Win 10 RTM Core OEM:DM","OEM:DM","FALSE","[TH]X19-99523","OEM","true","0","499999999","500000000"
"","","","","","","","[TH]X19-99524","OEM","true","500000000","504999999","5000000"
"","","","","","","","[TH]X19-99528","OEM","true","505000000","509999999","5000000"
"","","","","","","","[TH]X19-99526","OEM","true","510000000","514999999","5000000"
"","","","","","","","[TH]X19-99529","OEM","true","515000000","524999999","10000000"
"","","","","","","","[TH]X19-99527","OEM","true","525000000","525999999","1000000"
"","","","","","","","[TH]X19-99531","OEM","true","526000000","526999999","1000000"
"","","","","","","","[TH]X19-99533","OEM","true","527000000","527999999","1000000"
"","","","","","","","[TH]X19-99530","OEM","true","528000000","607999999","80000000"
"","","","","","","","[TH]X19-99532","OEM","true","608000000","627999999","20000000"
"","","","","","","","[TH]X19-99534","OEM","true","628000000","707999999","80000000"
"","","","","","","","[TH]X19-99536","OEM","true","708000000","727999999","20000000"
"","","","","","","","[TH]X20-30283","OEM","true","728000000","737999999","10000000"
"","","","","","","","[TH]res-v3258","OEM","true","738000000","999999999","262000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{8db63db6-4f8f-46d6-a448-66444faaaa72}","3259","msft:rm/algorithm/pkey/2009","Core","Win 10 RTM Core OEM:DM","OEM:DM","FALSE","[TH]X19-99537","OEM","true","0","79999999","80000000"
"","","","","","","","[TH]X19-99535","OEM","true","80000000","99999999","20000000"
"","","","","","","","[TH]X19-99538","OEM","true","100000000","179999999","80000000"
"","","","","","","","[TH]X19-99540","OEM","true","180000000","199999999","20000000"
"","","","","","","","[TH]X19-99539","OEM","true","200000000","219999999","20000000"
"","","","","","","","[TH]X19-99541","OEM","true","220000000","239999999","20000000"
"","","","","","","","[TH]X19-99545","OEM","true","240000000","319999999","80000000"
"","","","","","","","[TH]X19-99544","OEM","true","320000000","339999999","20000000"
