"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{9297796b-3972-4347-906e-78905da547e2}","3788","msft:rm/algorithm/pkey/2009","ServerAzureNano","Windows Server 2016 RTM ServerAzureNano Retail","Retail","FALSE","[RS1]X21-14947:Virtual","Retail","true","0","999999998","999999999"
"","","","","","","","","","","","[SUBTOTAL]","999999999"
"{92114319-12ea-4bca-9d63-8740de9feff3}","4290","msft:rm/algorithm/pkey/2009","ServerStandard","Windows Server 2019 RTM ServerStandard Retail","Retail","FALSE","[RS5]X21-83400:Virtual","Retail","true","0","9999999","10000000"
"","","","","","","","[RS5]X21-83401:Virtual","Retail","true","10000000","39999999","30000000"
"","","","","","","","[RS5]X21-83398:Virtual","Retail","true","40000000","44999999","5000000"
"","","","","","","","[RS5]X21-83403:Virtual","Retail","true","45000000","45499999","500000"
"","","","","","","","[RS5]X21-83397:Virtual","Retail","true","45500000","51999999","6500000"
"","","","","","","","[RS5]X21-83402:Virtual","Retail","true","52000000","111999999","60000000"
"","","","","","","","[RS5]X21-83399:Virtual","Retail","true","112000000","141999999","30000000"
"","","","","","","","[RS5]res-v4290:Virtual","Retail","true","142000000","999999999","858000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{c2d23e1f-ee3e-4533-9094-e6dc0b8aa049}","4291","msft:rm/algorithm/pkey/2009","ServerStandard","Windows Server 2019 RTM ServerStandard OEM:NONSLP","OEM:NONSLP","FALSE","[RS5]X21-83407:Virtual","OEM","true","0","1999999","2000000"
"","","","","","","","[RS5]X21-83406:Virtual","OEM","true","2000000","27999999","26000000"
"","","","","","","","[RS5]X21-83404:Virtual","OEM","true","28000000","37999999","10000000"
"","","","","","","","[RS5]X21-83409:Virtual","OEM","true","38000000","38999999","1000000"
"","","","","","","","[RS5]X21-83408:Virtual","OEM","true","39000000","39099999","100000"
"","","","","","","","[RS5]X21-83405:Virtual","OEM","true","39100000","47099999","8000000"
"","","","","","","","[RS5]res-v4291:Virtual","OEM","true","47100000","999999999","952900000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{fd946594-6f0d-4c5c-9bf7-f5f628ecd0b9}","4292","msft:rm/algorithm/pkey/2009","ServerStandard","Windows Server 2019 RTM ServerStandard OEM:NONSLP (MUI locked to zh-CN)","OEM:NONSLP","FALSE","[RS5]X21-83410:Virtual","OEM","true","0","2999999","3000000"
"","","","","","","","[RS5]X21-83724:Virtual","OEM","true","3000000","5999999","3000000"
"","","","","","","","[RS5]X21-83411:Virtual","OEM","true","6000000","8999999","3000000"
"","","","","","","","[RS5]res-v4292:Virtual","OEM","true","9000000","999999999","991000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{d07edbd8-02cb-49b1-8358-f2de7afd8a4d}","4293","msft:rm/algorithm/pkey/2009","ServerStandard","Windows Server 2019 RTM ServerStandard OEM:SLP","OEM:SLP","FALSE","[RS5]X21-83723","OEM","true","0","19999","20000"
"","","","","","","","[RS5]X21-83726","OEM","true","20000","20099","100"
"","","","","","","","[RS5]X21-83725","OEM","true","20100","40099","20000"
"","","","","","","","[RS5]res-v4293","OEM","true","40100","999999999","999959900"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{4285bbda-6219-4c1a-98e9-859e60d669fb}","4294","msft:rm/algorithm/pkey/2009","ServerStandard","Windows Server 2019 RTM ServerStandard OEM:SLP (MUI locked to zh-CN)","OEM:SLP","FALSE","[RS5]X21-83727","OEM","true","0","19999","20000"
"","","","","","","","[RS5]X21-83728","OEM","true","20000","39999","20000"
"","","","","","","","[RS5]res-v4294","OEM","true","40000","999999999","999960000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{281c216a-5957-439b-adf2-aff4098a2bdd}","4295","msft:rm/algorithm/pkey/2009","ServerStandard","Windows Server 2019 RTM ServerStandard OEM:DM","OEM:DM","FALSE","[RS5]X21-83732:Virtual","OEM","true","0","4999999","5000000"
"","","","","","","","[RS5]X21-83730:Virtual","OEM","true","5000000","9999999","5000000"
"","","","","","","","[RS5]X21-83729:Virtual","OEM","true","10000000","209999999","200000000"
"","","","","","","","[RS5]res-v4295:Virtual","OEM","true","210000000","999999999","790000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{8ea56c31-fe6e-4d56-9d17-8dc1ab35dd8b}","4296","msft:rm/algorithm/pkey/2009","ServerStandard","Windows Server 2019 RTM ServerStandard OEM:DM (MUI locked to zh-CN)","OEM:DM","FALSE","[RS5]X21-83731:Virtual","OEM","true","0","1999999","2000000"
"","","","","","","","[RS5]X21-83733:Virtual","OEM","true","2000000","3999999","2000000"
