"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{6a8ed375-e507-49d7-9b38-1623b8e6ff0c}","140","msft:rm/algorithm/pkey/2005","ServerHomeStandard","Windows Home Server Standard","Retail","FALSE","X13-87775","Retail","true","700000000","707999999","8000000"
"","","","","","","","","","","","[SUBTOTAL]","8000000"
"{b4b3dccb-b321-4393-8123-3659ec75a192}","140","msft:rm/algorithm/pkey/2005","ServerHomePremium","Windows Home Server Premium","Retail","FALSE","X13-87776","Retail","true","708000000","717999999","10000000"
"","","","","","","","","","","","[SUBTOTAL]","10000000"
"{3b18e76c-2384-4029-a596-c939c91cb7be}","140","msft:rm/algorithm/pkey/2005","ServerHomeStandard","Windows Home Server Standard - OEM SLP","OEM:SLP","FALSE","X13-91363","OEM","true","15763010","15863009","100000"
"","","","","","","","","","","","[SUBTOTAL]","100000"
"{e40d338b-76d2-4755-a8a0-b530d9d970bc}","140","msft:rm/algorithm/pkey/2005","ServerHomePremium","Windows Home Server Premium - OEM SLP","OEM:SLP","FALSE","X13-91364","OEM","true","103676340","103776339","100000"
"","","","","","","","","","","","[SUBTOTAL]","100000"
"{0d621b72-d593-4e42-bbab-1911c7326549}","140","msft:rm/algorithm/pkey/2005","ServerHomeStandard","Windows Home Server Standard - OEM SLP COA","OEM:COA","FALSE","X13-91366","OEM","true","235000000","244999999","10000000"
"","","","","","","","","","","","[SUBTOTAL]","10000000"
"{79295998-90ab-4eb2-a093-073ac441006f}","140","msft:rm/algorithm/pkey/2005","ServerHomePremium","Windows Home Server Premium - OEM SLP COA","OEM:COA","FALSE","X13-91367","OEM","true","245000000","264999999","20000000"
"","","","","","","","","","","","[SUBTOTAL]","20000000"
"{725a3567-0181-498f-be72-31741bf08070}","140","msft:rm/algorithm/pkey/2005","ServerHomeStandard","Windows Home Server Standard - OEM NONSLP","OEM:NONSLP","FALSE","X13-89802","OEM","true","273000000","282999999","10000000"
"","","","","","","","","","","","[SUBTOTAL]","10000000"
"{5cb0425f-a4d4-4d4a-8b5f-9ceb4211b322}","140","msft:rm/algorithm/pkey/2005","ServerHomePremium","Windows Home Server Premium - OEM NONSLP","OEM:NONSLP","FALSE","X13-89803","OEM","true","283000000","302999999","20000000"
"","","","","","","","","","","","[SUBTOTAL]","20000000"
"{13d1b96c-1375-43a4-99e7-7e7fefe21f53}","140","msft:rm/algorithm/pkey/2005","ServerHomeStandard","Windows Home Server Standard","Retail","FALSE","X14-18918","MSDN","true","477000000","477999999","1000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000"
"{26186aee-5833-4d48-b59d-a1a29c8cbc2d}","140","msft:rm/algorithm/pkey/2005","ServerHomePremium","Windows Home Server Premium","Retail","FALSE","X14-18917","MSDN","true","355000000","355999999","1000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000"
"{30fab9cc-8614-4339-989f-7ce61fb7a5c4}","142","msft:rm/algorithm/pkey/2005","Ultimate","Windows Vista Ultimate Retail","Retail","FALSE","X12-80003","Retail","true","14000000","14499999","500000"
"","","","","","","","X12-80003","Retail","true","447000000","448499999","1500000"
"","","","","","","","X12-80016","Retail","true","6000000","6999999","1000000"
"","","","","","","","X13-00539","Retail:WAU1","true","293000000","296999999","4000000"
"","","","","","","","X13-00540","Retail:WAU2","true","289000000","292999999","4000000"
"","","","","","","","X13-00541","Retail:WAU3","true","283000000","288999999","6000000"
"","","","","","","","X13-00548","Retail:WAU4","true","305000000","306999999","2000000"
"","","","","","","","X13-00550","Retail:WAU5","true","303000000","304999999","2000000"
"","","","","","","","X13-02191","Retail","true","314000000","314999999","1000000"
"","","","","","","","X13-02193","Retail","true","309000000","309999999","1000000"
"","","","","","","","X13-04111","MSDN","true","378000000","388999999","11000000"
"","","","","","","","X13-04123","Retail","true","433000000","433999999","1000000"
"","","","","","","","X13-04123","Retail","true","437000000","437979999","980000"
"","","","","","","","X12-80003","Retail","true","448720000","466239999","17520000"
"","","","","","","","X13-90616","Retail","true","448500000","448719999","220000"
"","","","","","","","X14-10425","Retail","true","389000000","389999999","1000000"
"","","","","","","","X13-78544","Retail","true","470600000","470999999","400000"
"","","","","","","","X13-78544","Retail","true","499702000","501201999","1500000"
"","","","","","","","X14-22760","Retail","true","495060000","495559999","500000"
"","","","","","","","X14-22760","Retail","true","571835000","571954999","120000"
"","","","","","","","X14-22761","Retail","true","487720000","488419999","700000"
"","","","","","","","X14-22761","Retail","true","571955000","572254999","300000"
"","","","","","","","X14-22762","Retail","true","492270000","493769999","1500000"
"","","","","","","","X14-22763","Retail","true","491920000","492119999","200000"
"","","","","","","","X14-22763","Retail","true","572255000","572294999","40000"
"","","","","","","","X14-22764","Retail","true","493770000","493869999","100000"
"","","","","","","","X14-22764","Retail","true","572295000","572329999","35000"
"","","","","","","","X14-22765","Retail","true","492220000","492269999","50000"
"","","","","","","","X14-22765","Retail","true","503000000","503049999","50000"
"","","","","","","","X14-22765","Retail","true","572330000","572364999","35000"
"","","","","","","","X14-22766","Retail","true","493870000","493909999","40000"
"","","","","","","","X14-22766","Retail","true","551740000","551799999","60000"
"","","","","","","","X14-22766","Retail","true","572365000","572399999","35000"
"","","","","","","","X14-22767","Retail","true","492120000","492219999","100000"
"","","","","","","","X14-22767","Retail","true","572400000","572434999","35000"
"","","","","","","","X14-23181","Retail","true","474858000","475607999","750000"
"","","","","","","","X14-23181","Retail","true","573185000","573434999","250000"
"","","","","","","","X14-23182","Retail","true","475608000","475807999","200000"
"","","","","","","","X14-23183","Retail","true","475808000","476007999","200000"
"","","","","","","","X14-23571","Retail","true","495828000","495837999","10000"
"","","","","","","","X14-23571","Retail","true","503750000","503799999","50000"
"","","","","","","","X14-23573","Retail","true","495924000","495943999","20000"
"","","","","","","","X14-23573","Retail","true","503800000","503849999","50000"
"","","","","","","","X14-23574","Retail","true","495659000","495664999","6000"
"","","","","","","","X14-23574","Retail","true","503850000","503899999","50000"
"","","","","","","","X14-23575","Retail","true","495665000","495670999","6000"
"","","","","","","","X14-23575","Retail","true","503900000","503949999","50000"
"","","","","","","","X14-23586","Retail","true","495810000","495818999","9000"
"","","","","","","","X14-23586","Retail","true","504200000","504249999","50000"
"","","","","","","","X14-23587","Retail","true","495695000","495700999","6000"
"","","","","","","","X14-23587","Retail","true","504250000","504299999","50000"
"","","","","","","","X14-23588","Retail","true","495701000","495706999","6000"
