"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{0724cb7d-3437-4cb7-93cb-830375d0079d}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;EnterpriseE;Professional;ProfessionalN;ProfessionalE","Win 10 RTM Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN Volume:CSVLK","Volume:CSVLK","FALSE","X20-00859","Volume","true","390000000","404999999","15000000"
"","","","","","","","X20-00860","Volume","true","192500000","193199999","700000"
"","","","","","","","X20-00861","Volume","true","10024000","10028999","5000"
"","","","","","","","","","","","[SUBTOTAL]","15705000"
"{29d0b60f-66da-4858-bcaf-9eb513cd310d}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;EnterpriseE;Professional;ProfessionalN;ProfessionalE","Win 8.1 RTM Enterprise;EnterpriseN;Professional;ProfessionalN Volume:CSVLK","Volume:CSVLK","FALSE","X18-95346","Volume","true","339000000","353999999","15000000"
"","","","","","","","X18-95347","Volume","true","110000000","110699999","700000"
"","","","","","","","X18-95348","Volume","true","10013000","10017999","5000"
"","","","","","","","X18-95349","Volume","true","10600000","10699999","100000"
"","","","","","","","X18-95350","Volume","true","10018000","10022999","5000"
"","","","","","","","","","","","[SUBTOTAL]","15810000"
"{5e017a8a-f3f9-4167-b1bd-ba3e236a4d8f}","196","msft:rm/algorithm/pkey/2005","HomePremium","Windows 7 Home Premium OEM:COA","OEM:COA","FALSE","X15-37340","OEM","true","3000000","18999999","16000000"
"","","","","","","","X15-37340","OEM","true","20000000","21999999","2000000"
"","","","","","","","X15-37340","OEM","true","29000000","110999999","82000000"
"","","","","","","","X15-37340","OEM","true","112000000","185999999","74000000"
"","","","","","","","X15-37340","OEM","true","187000000","196999999","10000000"
"","","","","","","","X15-37340","OEM","true","199000000","269999999","71000000"
"","","","","","","","X15-37340","OEM","true","271000000","334999999","64000000"
"","","","","","","","X15-37340","OEM","true","336000000","336999999","1000000"
"","","","","","","","X15-37340","OEM","true","339000000","364999999","26000000"
"","","","","","","","X15-37340","OEM","true","368000000","424999999","57000000"
"","","","","","","","X15-37340","OEM","true","426000000","435999999","10000000"
"","","","","","","","X15-37340","OEM","true","437000000","459999999","23000000"
"","","","","","","","X15-37340","OEM","true","461000000","469999999","9000000"
"","","","","","","","X15-37340","OEM","true","477000000","549999999","73000000"
"","","","","","","","X15-37340","OEM","true","551000000","629999999","79000000"
"","","","","","","","X15-37340","OEM","true","637000000","640999999","4000000"
"","","","","","","","X15-37340","OEM","true","660000000","664999999","5000000"
"","","","","","","","X15-37340","OEM","true","700000000","768999999","69000000"
