"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{bd3762d7-270d-4760-8fb3-d829ca45278a}","3305","msft:rm/algorithm/pkey/2009","Professional","Win 10 RTM Professional OEM:DM","OEM:DM","FALSE","[Blue]X19-99481","OEM","true","0","499999999","500000000"
"","","","","","","","[Blue]X19-99478","OEM","true","500000000","549999999","50000000"
"","","","","","","","[Blue]X19-99479","OEM","true","550000000","574999999","25000000"
"","","","","","","","[Blue]X19-99480","OEM","true","575000000","578999999","4000000"
"","","","","","","","[Blue]X19-99483","OEM","true","579000000","583999999","5000000"
"","","","","","","","[Blue]X20-24587","OEM","true","584000000","588999999","5000000"
"","","","","","","","[Blue]res-v3305","OEM","true","589000000","999999999","411000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{613d217f-7f13-4268-9907-1662339531cd}","3306","msft:rm/algorithm/pkey/2009","Professional","Win 10 RTM Professional OEM:DM","OEM:DM","FALSE","[Blue]X19-99485","OEM","true","0","49999999","50000000"
"","","","","","","","[Blue]X19-99482","OEM","true","50000000","54999999","5000000"
"","","","","","","","[Blue]X19-99484","OEM","true","55000000","55999999","1000000"
"","","","","","","","[Blue]X19-99489","OEM","true","56000000","56999999","1000000"
"","","","","","","","[Blue]X19-99488","OEM","true","57000000","57999999","1000000"
"","","","","","","","[Blue]X19-99486","OEM","true","58000000","137999999","80000000"
"","","","","","","","[Blue]X19-99487","OEM","true","138000000","145999999","8000000"
"","","","","","","","[Blue]X19-99492","OEM","true","146000000","165999999","20000000"
"","","","","","","","[Blue]X19-99491","OEM","true","166000000","245999999","80000000"
"","","","","","","","[Blue]X19-99493","OEM","true","246000000","253999999","8000000"
"","","","","","","","[Blue]X19-99490","OEM","true","254000000","273999999","20000000"
"","","","","","","","[Blue]X19-99496","OEM","true","274000000","281999999","8000000"
"","","","","","","","[Blue]X19-99497","OEM","true","282000000","311999999","30000000"
"","","","","","","","[Blue]X19-99494","OEM","true","312000000","341999999","30000000"
"","","","","","","","[Blue]X19-99493","OEM","true","342000000","353999999","12000000"
"","","","","","","","[Blue]X20-23596","OEM","true","354000000","403999999","50000000"
"","","","","","","","[Blue]X20-23595","OEM","true","404000000","418999999","15000000"
"","","","","","","","[Blue]X20-23598","OEM","true","419000000","433999999","15000000"
"","","","","","","","[Blue]X20-23597","OEM","true","434000000","483999999","50000000"
"","","","","","","","[Blue]X20-23600","OEM","true","484000000","533999999","50000000"
"","","","","","","","[Blue]X20-23646","OEM","true","534000000","583999999","50000000"
"","","","","","","","[Blue]X20-23648","OEM","true","584000000","598999999","15000000"
"","","","","","","","[Blue]X20-23649","OEM","true","599000000","613999999","15000000"
"","","","","","","","[Blue]res-v3306","OEM","true","614000000","999999999","386000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{2c293c26-a45a-4a2a-a350-c69a67097529}","3425","msft:rm/algorithm/pkey/2009","Professional","Win 10 RTM Professional OEM:DM","OEM:DM","FALSE","[Blue]X19-99647","OEM","true","0","999999","1000000"
"","","","","","","","[Blue]X19-99647","OEM","true","1000000","19999999","19000000"
"","","","","","","","[Blue]X20-23601","OEM","true","20000000","519999999","500000000"
"","","","","","","","[Blue]res-v3425","OEM","true","520000000","999999999","480000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{b6f26b97-8a82-4781-beef-1123952988f2}","3314","msft:rm/algorithm/pkey/2009","ProfessionalN","Win 10 RTM ProfessionalN OEM:DM","OEM:DM","FALSE","[Blue]X19-99503","OEM","true","0","4999999","5000000"
"","","","","","","","[Blue]X19-99507","OEM","true","5000000","5499999","500000"
"","","","","","","","[Blue]X19-99509","OEM","true","5500000","5749999","250000"
"","","","","","","","[Blue]X19-99506","OEM","true","5750000","10749999","5000000"
"","","","","","","","[Blue]X19-99508","OEM","true","10750000","11749999","1000000"
"","","","","","","","[Blue]X19-99511","OEM","true","11750000","12749999","1000000"
"","","","","","","","[Blue]X19-99510","OEM","true","12750000","13749999","1000000"
"","","","","","","","[Blue]X19-99512","OEM","true","13750000","14749999","1000000"
"","","","","","","","[Blue]X19-99513","OEM","true","14750000","19749999","5000000"
"","","","","","","","[Blue]X19-99515","OEM","true","19750000","21749999","2000000"
"","","","","","","","[Blue]X19-99514","OEM","true","21750000","26749999","5000000"
"","","","","","","","[Blue]X19-99517","OEM","true","26750000","28749999","2000000"
"","","","","","","","[Blue]X19-99516","OEM","true","28750000","30749999","2000000"
"","","","","","","","[Blue]X20-23647","OEM","true","30750000","35749999","5000000"
"","","","","","","","[Blue]X20-24588","OEM","true","35750000","40749999","5000000"
"","","","","","","","[Blue]res-v3314","OEM","true","40750000","999999999","959250000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{d6323d79-620e-4b82-bd5f-765e820d69e6}","3293","msft:rm/algorithm/pkey/2009","EmbeddedIndustry","Windows Embedded Industry 8.1 RTM EmbeddedIndustry OEM:DM","OEM:DM","FALSE","[Blue]X19-99708","OEM","true","243000000","282999999","40000000"
"","","","","","","","[Blue]X19-99711","OEM","true","283000000","322999999","40000000"
"","","","","","","","[Blue]X19-99712","OEM","true","323000000","323999999","1000000"
"","","","","","","","[Blue]X19-99713","OEM","true","324000000","324999999","1000000"
"","","","","","","","[Blue]X19-99609","OEM","true","0","39999999","40000000"
"","","","","","","","[Blue]X19-99611","OEM","true","40000000","79999999","40000000"
"","","","","","","","[Blue]X19-99610","OEM","true","80000000","119999999","40000000"
"","","","","","","","[Blue]X19-99608","OEM","true","120000000","159999999","40000000"
"","","","","","","","[Blue]X19-99612","OEM","true","160000000","199999999","40000000"
"","","","","","","","[Blue]X19-99615","OEM","true","200000000","239999999","40000000"
"","","","","","","","[Blue]X19-99613","OEM","true","240000000","240999999","1000000"
"","","","","","","","[Blue]X19-99614","OEM","true","241000000","241999999","1000000"
"","","","","","","","[Blue]X19-99616","OEM","true","242000000","242999999","1000000"
"","","","","","","","[Blue]X20-29620","OEM","true","325000000","374999999","50000000"
"","","","","","","","[Blue]X20-29622","OEM","true","375000000","424999999","50000000"
"","","","","","","","[Blue]X20-29619","OEM","true","425000000","474999999","50000000"
"","","","","","","","[Blue]X20-29621","OEM","true","475000000","524999999","50000000"
"","","","","","","","[Blue]X20-29626","OEM","true","525000000","574999999","50000000"
"","","","","","","","[Blue]res-v3293","OEM","true","575000000","999999999","425000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{f9ee36aa-c068-43f9-8a22-8fb71d07566a}","3806","msft:rm/algorithm/pkey/2009","EmbeddedIndustry","Windows Embedded Industry 8.1 RTM EmbeddedIndustry OEM:DM","OEM:DM","FALSE","[Blue]X21-05055","OEM","true","0","4999999","5000000"
"","","","","","","","[Blue]X21-05058","OEM","true","5000000","9999999","5000000"
"","","","","","","","[Blue]X21-05056","OEM","true","10000000","49999999","40000000"
"","","","","","","","[Blue]X21-05033","OEM","true","140000000","179999999","40000000"
"","","","","","","","[Blue]X21-05059","OEM","true","50000000","89999999","40000000"
"","","","","","","","[Blue]X21-05030","OEM","true","180000000","229999999","50000000"
"","","","","","","","[Blue]X21-05060","OEM","true","90000000","139999999","50000000"
"","","","","","","","[Blue]X21-05031","OEM","true","230000000","279999999","50000000"
"","","","","","","","[Blue]X21-05032","OEM","true","280000000","280999999","1000000"
"","","","","","","","[Blue]X21-05034","OEM","true","281000000","281999999","1000000"
"","","","","","","","[Blue]X21-05036","OEM","true","282000000","282999999","1000000"
"","","","","","","","[Blue]res-v3806","OEM","true","283000000","999999999","717000000"
